mercredi	NOM	mercredi
,	PUN	,
la	DET:ART	le
communauté	NOM	communauté
de	PRP	de
communes	NOM	commune
des	PRP:det	du
vals	NOM	val
de	PRP	de
moselle	ADJ	moselle
et	KON	et
de	PRP	de
l'	DET:ART	le
esch	NOM	esch
a	VER:pres	avoir
organisé	VER:pper	organiser
une	DET:ART	un
cérémonie	NOM	cérémonie
de	PRP	de
remise	NOM	remise
de	PRP	de
chèque	NOM	chèque
,	PUN	,
suite	NOM	suite
aux	PRP:det	au
fonds	NOM	fond|fonds
récoltés	VER:pper	récolter
lors	ADV	lors
du	PRP:det	du
téléthon	NOM	téléthon
2002	NUM	@card@
a	VER:pres	avoir
cette	PRO:DEM	ce
occasion	NOM	occasion
,	PUN	,
les	DET:ART	le
élus	NOM	élu
ont	VER:pres	avoir
déclaré	VER:pper	déclarer
avoir	VER:infi	avoir
battu	VER:pper	battre
le	DET:ART	le
record	NOM	record
de	PRP	de
l'	DET:ART	le
année	NOM	année
2001	NUM	@card@
puisque	KON	puisque
ce	PRO:DEM	ce
sont	VER:pres	être
5.672	NUM	@card@
,	PUN	,
43	NUM	@card@
	NOM	
qui	PRO:REL	qui
ont	VER:pres	avoir
été	VER:pper	être
récoltés	VER:pper	récolter
l'	DET:ART	le
an	NOM	an
passé	VER:pper	passer
.	SENT	.
«	PUN:cit	«
le	DET:ART	le
7	NUM	@card@
décembre	NOM	décembre
,	PUN	,
on	PRO:PER	on
n'	ADV	ne
aurait	VER:cond	avoir
jamais	ADV	jamais
pensé	VER:pper	penser
battre	VER:infi	battre
la	DET:ART	le
récolte	NOM	récolte
de	PRP	de
2001	NUM	@card@
»,	NOM	»,
déclara	VER:simp	déclarer
en	PRP	en
préambule	NOM	préambule
henri	VER:pper	henri
robert	NOM	robert
.	SENT	.
mais	KON	mais
c'	PRO:DEM	ce
était	VER:impf	être
sans	PRP	sans
compter	VER:infi	compter
sur	PRP	sur
les	DET:ART	le
associations	NOM	association
qui	PRO:REL	qui
n'	ADV	ne
avaient	VER:impf	avoir
pas	ADV	pas
participé	VER:pper	participer
à	PRP	à
l'	DET:ART	le
édition	NOM	édition
2001	NUM	@card@
et	KON	et
qui	PRO:REL	qui
se	PRO:PER	se
sont	VER:pres	être
mobilisées	VER:pper	mobiliser
pour	PRP	pour
la	DET:ART	le
bonne	ADJ	bon
cause	NOM	cause
:	PUN	:
le	DET:ART	le
club	NOM	club
canin	ADJ	canin
de	PRP	de
rogéville	NOM	rogéville
,	PUN	,
par	PRP	par
exemple	NOM	exemple
,	PUN	,
qui	PRO:REL	qui
a	VER:pres	avoir
assuré	VER:pper	assurer
une	DET:ART	un
animation	NOM	animation
durant	PRP	durant
toute	PRO:IND	tout
la	DET:ART	le
journée	NOM	journée
de	PRP	de
dimanche	NOM	dimanche
.	SENT	.
«	PUN:cit	«
cette	PRO:DEM	ce
année	NOM	année
,	PUN	,
nous	PRO:PER	nous
avons	VER:pres	avoir
évité	VER:pper	éviter
un	DET:ART	un
tas	NOM	tas
de	PRP	de
petites	ADJ	petit
manifestations	NOM	manifestation
.	SENT	.
j'	PRO:PER	je
ai	VER:pres	avoir
apprécié	VER:pper	apprécier
le	DET:ART	le
regroupement	NOM	regroupement
de	PRP	de
la	DET:ART	le
«	PUN:cit	«
petite-suisse	NOM	petite-suisse
»	PUN:cit	»
où	PRO:REL	où
le	DET:ART	le
samedi	NOM	samedi
soir	NOM	soir
,	PUN	,
il	PRO:PER	il
y	PRO:PER	y
eut	VER:simp	avoir
le	DET:ART	le
loto	NOM	loto
à	PRP	à
villers-en-haye	NOM	villers-en-haye
et	KON	et
le	DET:ART	le
lendemain	NOM	lendemain
d'	PRP	de
autres	ADJ	autre
manifestations	NOM	manifestation
à	PRP	à
rogéville	NOM	rogéville
par	PRP	par
exemple	NOM	exemple
.	SENT	.
cette	PRO:DEM	ce
année	NOM	année
,	PUN	,
tout	PRO:IND	tout
le	DET:ART	le
monde	NOM	monde
a	VER:pres	avoir
participé	VER:pper	participer
et	KON	et
je	PRO:PER	je
les	PRO:PER	la|le
en	PRO:PER	en
remercie	VER:pres	remercier
.	SENT	.
en	PRP	en
2003	NUM	@card@
on	PRO:PER	on
tentera	VER:futu	tenter
de	PRP	de
passer	VER:infi	passer
le	DET:ART	le
cap	NOM	cap
des	PRP:det	du
6.000	NUM	@card@
	NOM	
»,	ADJ	»,
souligna	VER:simp	souligner
michel	NOM	michel
di	ADJ	di
vita	VER:simp	vita
.	SENT	.
«	PUN:cit	«
nous	PRO:PER	nous
allons	VER:pres	aller
continuer	VER:infi	continuer
dans	PRP	dans
ce	PRO:DEM	ce
sens	NOM	sen|sens
et	KON	et
battre	VER:infi	battre
des	PRP:det	du
records	NOM	record
»,	ADJ	»,
ajouta	VER:simp	ajouter
henri	VER:pper	henri
kryk	NOM	kryk
.	SENT	.
actuellement	ADV	actuellement
,	PUN	,
la	DET:ART	le
communauté	NOM	communauté
de	PRP	de
communes	NOM	commune
des	PRP:det	du
vals	NOM	val
de	PRP	de
moselle	ADJ	moselle
et	KON	et
de	PRP	de
l'	DET:ART	le
esch	NOM	esch
prépare	VER:pres	préparer
le	DET:ART	le
téléthon	NOM	téléthon
2003	NUM	@card@
«	PUN:cit	«
nous	PRO:PER	nous
réfléchissons	VER:pres	réfléchir
déjà	ADV	déjà
pour	PRP	pour
le	DET:ART	le
fil	NOM	fil
rouge	ADJ	rouge
de	PRP	de
l'	DET:ART	le
édition	NOM	édition
2003	NUM	@card@
nous	PRO:PER	nous
souhaiterions	VER:cond	souhaiter
une	DET:ART	un
plus	ADV	plus
grande	ADJ	grand
solidarité	NOM	solidarité
car	KON	car
nous	PRO:PER	nous
avons	VER:pres	avoir
encore	ADV	encore
un	DET:ART	un
challenge	NOM	challenge
à	PRP	à
battre	VER:infi	battre
les	DET:ART	le
5	NUM	@card@
et	KON	et
6	NUM	@card@
décembre	NOM	décembre
2003	NUM	@card@
nous	PRO:PER	nous
allons	VER:pres	aller
«	PUN:cit	«
réchauffé	VER:pper	réchauffer
»	PUN:cit	»
les	DET:ART	le
associations	NOM	association
un	DET:ART	un
peu	ADV	peu
«	PUN:cit	«
froides	ADJ	froid
»	PUN:cit	»
pour	KON	pour
qu'	KON	que
elles	PRO:PER	elle
y	PRO:PER	y
participent	VER:pres	participer
pleinement	ADV	pleinement
,	PUN	,
»	PUN:cit	»
déclara	VER:simp	déclarer
henri	VER:pper	henri
robert	NOM	robert
.	SENT	.
après	PRP	après
les	DET:ART	le
discours	NOM	discours
des	PRP:det	du
