c'	PRO:DEM	ce
est	VER:pres	être
avec	PRP	avec
beaucoup	ADV	beaucoup
de	PRP	de
gentillesse	NOM	gentillesse
que	KON	que
le	DET:ART	le
père	NOM	père
noël	NOM	noël
a	VER:pres	avoir
répondu	VER:pper	répondre
à	PRP	à
l'	DET:ART	le
invitation	NOM	invitation
de	PRP	de
l'	DET:ART	le
amicale	ADJ	amical
des	PRP:det	du
sapeurs-pompiers	NOM	sapeurs-pompiers
de	PRP	de
vaucouleurs	NOM	vaucouleurs
.	SENT	.
il	PRO:PER	il
a	VER:pres	avoir
donc	ADV	donc
retardé	VER:pper	retarder
de	PRP	de
quelques	PRO:IND	quelque
jours	NOM	jour
ses	DET:POS	son
longues	ADJ	longue
vacances	NOM	vacance
pour	PRP	pour
rendre	VER:infi	rendre
une	DET:ART	un
petite	ADJ	petit
visite	NOM	visite
aux	PRP:det	au
enfants	NOM	enfant
,	PUN	,
directement	ADV	directement
à	PRP	à
la	DET:ART	le
caserne	NOM	caserne
.	SENT	.
comme	ADV	comme
chaque	PRO:IND	chaque
année	NOM	année
,	PUN	,
sa	DET:POS	son
hotte	NOM	hotte
était	VER:impf	être
pleine	ADJ	plein
de	PRP	de
cadeaux	NOM	cadeau
qu'	PRO:REL	que
il	PRO:PER	il
a	VER:pres	avoir
distribués	VER:pper	distribuer
aux	PRP:det	au
petits	NOM	petit
.	SENT	.
mais	KON	mais
le	DET:ART	le
vénérable	ADJ	vénérable
«	PUN:cit	«
homme	NOM	homme
en	PRP	en
rouge	ADJ	rouge
»	PUN:cit	»
n'	ADV	ne
avait	VER:impf	avoir
pas	ADV	pas
oublié	VER:pper	oublier
nos	DET:POS	notre
vaillants	ADJ	vaillant
soldats	NOM	soldat
du	PRP:det	du
feu	NOM	feu
,	PUN	,
les	PRO:PER	la|le
remerciant	VER:ppre	remercier
ainsi	ADV	ainsi
pour	PRP	pour
leur	DET:POS	leur
dévouement	NOM	dévouement
tout	ADV	tout
au	PRP:det	au
long	NOM	long
de	PRP	de
l'	DET:ART	le
année	NOM	année
,	PUN	,
ni	KON	ni
leurs	DET:POS	leur
épouses	NOM	épouse
pour	PRP	pour
leur	DET:POS	leur
soutien	NOM	soutien
.	SENT	.
après	PRP	après
avoir	VER:infi	avoir
sacrifié	VER:pper	sacrifier
à	PRP	à
la	DET:ART	le
traditionnele	ADJ	traditionnele
photo	NOM	photo
souvenir	NOM	souvenir
avec	PRP	avec
les	DET:ART	le
plus	ADV	plus
petits	ADJ	petit
,	PUN	,
le	DET:ART	le
père	NOM	père
noël	NOM	noël
a	VER:pres	avoir
pris	VER:pper	prendre
congé	NOM	congé
,	PUN	,
promettant	VER:ppre	promettre
de	PRP	de
revenir	VER:infi	revenir
l'	DET:ART	le
an	NOM	an
prochain	ADJ	prochain
...	PUN	...
