arnaud	NAM	Arnaud
et	KON	et
loïc	NOM	loïc
,	PUN	,
deux	NUM	deux
jeunes	NOM	jeune
lycéens	ADJ	lycéen
âgés	ADJ	âgé
de	PRP	de
19	NUM	@card@
ans	NOM	an
,	PUN	,
devaient	VER:impf	devoir
s'	PRO:PER	se
ennuyer	VER:infi	ennuyer
lors	ADV	lors
des	PRP:det	du
dernières	ADJ	dernier
vacances	NOM	vacance
d'	PRP	de
été	NOM	été
.	SENT	.
le	DET:ART	le
19	NUM	@card@
juillet	NOM	juillet
dernier	ADJ	dernier
,	PUN	,
ils	PRO:PER	il
se	PRO:PER	se
sont	VER:pres	être
mis	VER:pper	mettre
à	PRP	à
tagger	NOM	tagger
et	KON	et
à	PRP	à
déteriorer	VER:infi	déteriorer
les	DET:ART	le
abords	NOM	abord
de	PRP	de
la	DET:ART	le
place	NOM	place
de	PRP	de
l'	DET:ART	le
église	NOM	église
de	PRP	de
chèvremont	VER:futu	chèvremont
.	SENT	.
après	PRP	après
avoir	VER:infi	avoir
regardé	VER:pper	regarder
ce	PRO:DEM	ce
qui	PRO:REL	qui
se	PRO:PER	se
passait	VER:impf	passer
lorsqu'on	NOM	lorsqu'on
mettait	VER:impf	mettre
le	DET:ART	le
feu	NOM	feu
à	PRP	à
l'	DET:ART	le
interrupteur	NOM	interrupteur
des	PRP:det	du
toilettes	NOM	toilette
publiques	ADJ	publique
,	PUN	,
ils	PRO:PER	il
se	PRO:PER	se
sont	VER:pres	être
«	PUN:cit	«
exprimés	VER:pper	exprimer
»	PUN:cit	»
sur	PRP	sur
les	DET:ART	le
colonnes	NOM	colonne
de	PRP	de
l'	DET:ART	le
église	NOM	église
,	PUN	,
les	DET:ART	le
containers	NOM	container
de	PRP	de
tri	NOM	tri
sélectif	ADJ	sélectif
,	PUN	,
les	DET:ART	le
murs	NOM	mur
et	KON	et
portes	NOM	porte
des	PRP:det	du
toilettes	NOM	toilette
et	KON	et
de	PRP	de
l'	DET:ART	le
école	NOM	école
publique	ADJ	publique
.	SENT	.
la	DET:ART	le
présidente	NOM	président
schlumberger	NOM	schlumberger
observe	VER:pres	observer
les	DET:ART	le
photos	NOM	photo
:	PUN	:
«	PUN:cit	«
ah	INT	ah
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
vous	PRO:PER	vous
qui	PRO:REL	qui
avez	VER:pres	avoir
dessiné	VER:pper	dessiner
ce	PRO:DEM	ce
monsieur	NOM	monsieur
qui	PRO:REL	qui
fume	VER:pres	fumer
un	DET:ART	un
pétard	NOM	pétard
sous	PRP	sous
l'	DET:ART	le
inscription	NOM	inscription
cannabis	NOM	cannabis
».	VER:subi	».
réponse	NOM	réponse
du	PRP:det	du
prévenu	ADJ	prévenu
:	PUN	:
«	PUN:cit	«
euh	INT	euh
,	PUN	,
non	ADV	non
.	SENT	.
moi	PRO:PER	moi
j'	PRO:PER	je
ai	VER:pres	avoir
juste	ADJ	juste
fait	VER:pres	faire
la	DET:ART	le
petite	ADJ	petit
poule	NOM	poule
à	PRP	à
côté	NOM	côté
»	PUN:cit	»
des	PRP:det	du
jeunes	ADJ	jeune
gens	NOM	gens
guère	ADV	guère
plus	ADV	plus
locaces	ADJ	locaces
lorsque	KON	lorsque
la	DET:ART	le
magistrate	NOM	magistrate
leur	PRO:PER	lui
demande	VER:pres	demander
pourquoi	ADV	pourquoi
ils	PRO:PER	il
n'	ADV	ne
en	PRO:PER	en
font	VER:pres	faire
pas	ADV	pas
autant	ADV	autant
dans	PRP	dans
le	DET:ART	le
salon	NOM	salon
de	PRP	de
leurs	DET:POS	leur
parents	NOM	parent|parents
.	SENT	.
bref	ADV	bref
,	PUN	,
une	DET:ART	un
affaire	NOM	affaire
idiote	ADJ	idiot
qui	PRO:REL	qui
va	VER:pres	aller
leur	PRO:PER	lui
coûter	VER:infi	coûter
cher	ADV	cher
:	PUN	:
outre	ADV	outre
les	DET:ART	le
200	NUM	@card@
et	KON	et
300	NUM	@card@
euros	NOM	euro
d'	PRP	de
amende	NOM	amende
qu'	PRO:REL	que
ils	PRO:PER	il
ont	VER:pres	avoir
reçu	VER:pper	recevoir
,	PUN	,
les	DET:ART	le
deux	NUM	deux
lycéens	NOM	lycéen
devront	VER:futu	devoir
régler	VER:infi	régler
,	PUN	,
pour	PRP	pour
rembourser	VER:infi	rembourser
les	DET:ART	le
dégradations	NOM	dégradation
,	PUN	,
un	DET:ART	un
total	ADJ	total
de	PRP	de
5.315	NUM	@card@
euros	NOM	euro
à	PRP	à
la	DET:ART	le
commune	NOM	commune
de	PRP	de
chèvremont	VER:futu	chèvremont
et	KON	et
au	PRP:det	au
syndicat	NOM	syndicat
gérant	VER:ppre	gérer
les	DET:ART	le
ordures	NOM	ordure
ménagères	ADJ	ménager
.	SENT	.
