beaucoup	ADV	beaucoup
de	PRP	de
bonheur	NOM	bonheur
dans	PRP	dans
les	DET:ART	le
yeux	NOM	œil
de	PRP	de
l'	DET:ART	le
aïeule	NOM	aïeul
,	PUN	,
andrée	ADJ	andrée
petitjean	NOM	petitjean
,	PUN	,
heureuse	ADJ	heureux
de	PRP	de
poser	VER:infi	poser
pour	PRP	pour
la	DET:ART	le
photo	NOM	photo
,	PUN	,
entourée	VER:pper	entourer
de	PRP	de
son	DET:POS	son
fils	NOM	fil|fils
,	PUN	,
de	PRP	de
son	DET:POS	son
petit-fils	NOM	petit-fils
et	KON	et
de	PRP	de
ses	DET:POS	son
deux	NUM	deux
arrières-petits-enfants	NOM	arrières-petits-enfants
,	PUN	,
messaline	NOM	messaline
et	KON	et
françois	ADJ	françois
.	SENT	.
