j.	ABR	j.
,	PUN	,
un	DET:ART	un
belfortain	NOM	belfortain
de	PRP	de
17	NUM	@card@
ans	NOM	an
,	PUN	,
a	VER:pres	avoir
été	VER:pper	être
surpris	VER:pper	surprendre
en	PRP	en
flagrant	ADJ	flagrant
délit	NOM	délit
de	PRP	de
vol	NOM	vol
,	PUN	,
samedi	NOM	samedi
,	PUN	,
à	PRP	à
la	DET:ART	le
fnac	NOM	fnac
.	SENT	.
il	PRO:PER	il
a	VER:pres	avoir
dissimulé	VER:pper	dissimuler
un	DET:ART	un
baladeur	NOM	baladeur
,	PUN	,
encore	ADV	encore
emballé	VER:pper	emballer
,	PUN	,
d'	PRP	de
une	DET:ART	un
valeur	NOM	valeur
de	PRP	de
100	NUM	@card@
,	NOM	,
dans	PRP	dans
son	DET:POS	son
blouson	NOM	blouson
.	SENT	.
le	DET:ART	le
mineur	ADJ	mineur
a	VER:pres	avoir
réussi	VER:pper	réussir
à	PRP	à
franchir	VER:infi	franchir
la	DET:ART	le
caisse	NOM	caisse
du	PRP:det	du
magasin	NOM	magasin
mais	KON	mais
a	VER:pres	avoir
été	VER:pper	être
arrêté	VER:pper	arrêter
par	PRP	par
l'	DET:ART	le
agent	NOM	agent
de	PRP	de
sécurité	NOM	sécurité
.	SENT	.
a	VER:pres	avoir
l'	DET:ART	le
arrivée	NOM	arrivé|arrivée
des	PRP:det	du
agents	NOM	agent
de	PRP	de
police	NOM	police
,	PUN	,
il	PRO:PER	il
s'	PRO:PER	se
en	PRO:PER	en
est	VER:pres	être
pris	VER:pper	prendre
au	PRP:det	au
vigile	NOM	vigile
,	PUN	,
l'	PRO:PER	la|le
injuriant	VER:ppre	injurier
abondamment	ADV	abondamment
.	SENT	.
il	PRO:PER	il
a	VER:pres	avoir
également	ADV	également
proféré	VER:pper	proférer
des	PRP:det	du
insultes	NOM	insulte
envers	PRP	envers
les	DET:ART	le
policiers	NOM	policier
.	SENT	.
l'	DET:ART	le
individu	NOM	individu
reconnaît	VER:pres	reconnaître
les	DET:ART	le
deux	NUM	deux
infractions	NOM	infraction
-	PUN	-
vols	NOM	vol
et	KON	et
injures	NOM	injure
et	KON	et
comparaîtra	VER:futu	comparaître
à	PRP	à
l'	DET:ART	le
audience	NOM	audience
des	PRP:det	du
mineurs	ADJ	mineur
du	PRP:det	du
11	NUM	@card@
février	NOM	février
.	SENT	.
