aujourd'hui	ADV	aujourd'hui
(	PUN	(
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
)	PUN	)
:	PUN	:
auxerre	NOM	auxerre
(	PUN	(
6	NUM	@card@
e,	ABR	e,
37	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
sochaux	ADJ	sochaux
(	PUN	(
5	NUM	@card@
e,	ABR	e,
37	NUM	@card@
pts	NOM	pts
)	PUN	)
(	PUN	(
sur	PRP	sur
canal	NOM	canal
+)	ADJ	+)
20	NUM	@card@
h	ABR	heure
:	PUN	:
lyon	NOM	lyon
(	PUN	(
2	NUM	@card@
e,	ABR	e,
40	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
nantes	ADJ	nantes
(	PUN	(
12	NUM	@card@
e,	ABR	e,
31	NUM	@card@
pts	NOM	pts
)	PUN	)
monaco	NOM	monaco
(	PUN	(
3	NUM	@card@
e,	ABR	e,
39	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
sedan	NOM	sedan
(	PUN	(
15	NUM	@card@
e,	ABR	e,
27	NUM	@card@
pts	NOM	pts
)	PUN	)
nice	ADJ	nice
(	PUN	(
4	NUM	@card@
e,	ABR	e,
39	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
guingamp	NOM	guingamp
(	PUN	(
9	NUM	@card@
e,	ABR	e,
34	NUM	@card@
pts	NOM	pts
)	PUN	)
strasbourg	NOM	strasbourg
(	PUN	(
13	NUM	@card@
e,	ABR	e,
31	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
paris	NOM	pari
sg	NOM	sg
(	PUN	(
7	NUM	@card@
e,	ABR	e,
36	NUM	@card@
pts	NOM	pts
)	PUN	)
ajaccio	NOM	ajaccio
(	PUN	(
17	NUM	@card@
e,	ABR	e,
26	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
bastia	NOM	bastia
(	PUN	(
10	NUM	@card@
e,	ABR	e,
34	NUM	@card@
pts	NOM	pts
)	PUN	)
rennes	NOM	renne
(	PUN	(
16	NUM	@card@
e,	ABR	e,
26	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
lens	NOM	lens
(	PUN	(
11	NUM	@card@
e,	ABR	e,
33	NUM	@card@
pts	NOM	pts
)	PUN	)
le	DET:ART	le
havre	NOM	havre
(	PUN	(
18	NUM	@card@
e,	ABR	e,
26	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
troyes	NOM	troyes
(	PUN	(
20	NUM	@card@
e,	ABR	e,
16	NUM	@card@
pts	NOM	pts
)	PUN	)
demain	ADV	demain
(	PUN	(
20	NUM	@card@
h	ABR	heure
45	NUM	@card@
)	PUN	)
:	PUN	:
bordeaux	NOM	bordeau|bordeaux
(	PUN	(
8	NUM	@card@
e,	ABR	e,
36	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
marseille	NOM	marseille
(	PUN	(
1	NUM	@card@
e	NOM	e
r	ADJ	r
,	PUN	,
42	NUM	@card@
pts	NOM	pts
)	PUN	)
(	PUN	(
sur	PRP	sur
canal	NOM	canal
+)	ADJ	+)
match	NOM	match
reporté	VER:pper	reporter
:	PUN	:
lille	NOM	lille
(	PUN	(
14	NUM	@card@
e,	ABR	e,
28	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
montpellier	NOM	montpellier
(	PUN	(
19	NUM	@card@
e,	ABR	e,
18	NUM	@card@
pts	NOM	pts
)	PUN	)
