pont-a-mousson	NOM	pont-a-mousson
bat	VER:pres	battre
montceau-les-mines	NOM	montceau-les-mines
:	PUN	:
54	NUM	@card@
-	PUN	-
7	NUM	@card@
pont-à-mousson	NOM	pont-à-mousson
:	PUN	:
les	DET:ART	le
essais	NOM	essai
:	PUN	:
marchal	NOM	marchal
(	PUN	(
22	NUM	@card@
'),	NOM	'),
lemaire	ADJ	lemaire
(	PUN	(
25	NUM	@card@
'),	NOM	'),
mansion	NOM	mansion
(	PUN	(
49	NUM	@card@
'	PUN	'
et	KON	et
59	NUM	@card@
'),	ADJ	'),
vincent	NOM	vincent
(	PUN	(
52	NUM	@card@
'),	NOM	'),
leroy	NOM	leroy
(	PUN	(
67	NUM	@card@
'),	ABR	'),
1	NUM	@card@
essai	NOM	essai
de	PRP	de
pen	NOM	pen
.	SENT	.
(	PUN	(
18	NUM	@card@
').	ABR	').
les	DET:ART	le
transformations	NOM	transformation
:	PUN	:
vincent	NOM	vincent
(	PUN	(
18	NUM	@card@
'),	NOM	'),
(	PUN	(
22	NUM	@card@
et	KON	et
25	NUM	@card@
'),	ADJ	'),
domingos	NOM	domingos
(	PUN	(
52	NUM	@card@
'	PUN	'
et	KON	et
67	NUM	@card@
').	ABR	').
les	DET:ART	le
penalités	NOM	penalités
:	PUN	:
vincent	NOM	vincent
(	PUN	(
31	NUM	@card@
'	PUN	'
et	KON	et
40	NUM	@card@
'),	ADJ	'),
domingos	NOM	domingos
(	PUN	(
44	NUM	@card@
').	ABR	').
montceau-les-mines	NOM	montceau-les-mines
:	PUN	:
essai	NOM	essai
:	PUN	:
dubois	NOM	dubois
(	PUN	(
79	NUM	@card@
').	ABR	').
transformation	NOM	transformation
de	PRP	de
ayuso	NOM	ayuso
(	PUN	(
79	NUM	@card@
').	ABR	').
