montbéliard	NOM	montbéliard
.	SENT	.
_	NOM	_
lyon	ADJ	lyon
et	KON	et
sochaux	ADJ	sochaux
ont	VER:pres	avoir
tout	PRO:IND	tout
intérêt	NOM	intérêt
à	PRP	à
trouver	VER:infi	trouver
le	DET:ART	le
chemin	NOM	chemin
des	PRP:det	du
filets	NOM	filet
ce	PRO:DEM	ce
soir	NOM	soir
.	SENT	.
et	KON	et
pour	PRP	pour
cause	NOM	cause
:	PUN	:
les	DET:ART	le
lyonnais	NOM	lyonnais
n'	ADV	ne
ont	VER:pres	avoir
jamais	ADV	jamais
perdu	VER:pper	perdre
après	PRP	après
avoir	VER:infi	avoir
ouvert	VER:pper	ouvrir
le	DET:ART	le
score	NOM	score
,	PUN	,
les	DET:ART	le
sochaliens	NOM	sochaliens
ont	VER:pres	avoir
toujours	ADV	toujours
pris	VER:pper	prendre
au	PRP:det	au
moins	ADV	moins
un	DET:ART	un
point	NOM	point
en	PRP	en
marquant	VER:ppre	marquer
en	PRP	en
déplacement	NOM	déplacement
.	SENT	.
en	PRP	en
revanche	NOM	revanche
,	PUN	,
les	DET:ART	le
vingt	NUM	vingt
premières	NUM	premier
minutes	NOM	minute
de	PRP	de
la	DET:ART	le
seconde	NUM	second
période	NOM	période
pourraient	VER:cond	pouvoir
bien	ADV	bien
s'	PRO:PER	se
avérer	VER:infi	avérer
déterminantes	ADJ	déterminant
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
là	ADV	là
que	KON	que
lyon	NOM	lyon
a	VER:pres	avoir
le	DET:ART	le
plus	ADV	plus
souvent	ADV	souvent
trouvé	VER:pper	trouver
la	DET:ART	le
faille	NOM	faille
(	PUN	(
12	NUM	@card@
buts	NOM	but
)	PUN	)
pendant	VER:ppre	pendre
que	KON	que
sochaux	NOM	sochaux
connaissait	VER:impf	connaître
le	DET:ART	le
maximum	NOM	maximum
de	PRP	de
difficultés	NOM	difficulté
(	PUN	(
8	NUM	@card@
buts	NOM	but
sur	PRP	sur
14	NUM	@card@
concédés	VER:pper	concéder
entre	PRP	entre
la	DET:ART	le
46	NUM	@card@
e	NOM	e
et	KON	et
la	DET:ART	le
70	NUM	@card@
e	NOM	e
minute	VER:pres	minuter
).	VER:pper	).
voici	ADV	voici
le	DET:ART	le
parcours	NOM	parcours
respectif	ADJ	respectif
des	PRP:det	du
deux	NUM	deux
équipes	NOM	équipe
,	PUN	,
compte	VER:pres	compter
non	ADV	non
tenu	VER:pper	tenir
du	PRP:det	du
match	NOM	match
auxerre-marseille	NOM	auxerre-marseille
disputé	VER:pper	disputer
hier	ADV	hier
soir	NOM	soir
.	SENT	.
on	PRO:PER	on
remarquera	VER:futu	remarquer
que	ADV	que
sochaux	ADJ	sochaux
occupe	VER:pres	occuper
une	DET:ART	un
peu	ADV	peu
reluisante	ADJ	reluisant
17	NUM	@card@
e	ADJ	e
place	NOM	place
au	PRP:det	au
classement	NOM	classement
à	PRP	à
l'	DET:ART	le
extérieur	NOM	extérieur
,	PUN	,
précédant	VER:ppre	précéder
seulement	ADV	seulement
troyes	NOM	troyes
,	PUN	,
montpellier	NOM	montpellier
et	KON	et
bastia	NOM	bastia
.	SENT	.
a	VER:pres	avoir
domicile	NOM	domicile
1	NUM	@card@
sochaux	NOM	sochaux
27	NUM	@card@
points	NOM	point
;	PUN	;
2	NUM	@card@
nice	ADJ	nice
26	NUM	@card@
;	PUN	;
3	NUM	@card@
marseille	NOM	marseille
25	NUM	@card@
;	PUN	;
4	NUM	@card@
lyon	NOM	lyon
23	NUM	@card@
;	PUN	;
5	NUM	@card@
bastia	NOM	bastia
25	NUM	@card@
