bien	ADV	bien
encadrés	VER:pper	encadrer
par	PRP	par
leurs	DET:POS	leur
enseignantes	NOM	enseignant
et	KON	et
les	DET:ART	le
aides-maternelles	NOM	aides-maternelles
,	PUN	,
les	DET:ART	le
bambins	NOM	bambin
des	PRP:det	du
deux	NUM	deux
classes	NOM	classe
maternelles	ADJ	maternel
du	PRP:det	du
groupe	NOM	groupe
scolaire	ADJ	scolaire
camille	NOM	camille
picard	ADJ	picard
ont	VER:pres	avoir
fait	VER:pper	faire
le	DET:ART	le
déplacement	NOM	déplacement
au	PRP:det	au
bureau	NOM	bureau
de	PRP	de
poste	NOM	poste
,	PUN	,
samedi	NOM	samedi
matin	NOM	matin
,	PUN	,
pour	PRP	pour
apporter	VER:infi	apporter
le	DET:ART	le
fruit	NOM	fruit
de	PRP	de
leur	DET:POS	leur
collecte	NOM	collecte
de	PRP	de
pièces	NOM	pièce
jaunes	ADJ	jaune
.	SENT	.
ils	PRO:PER	il
ont	VER:pres	avoir
été	VER:pper	être
accueillis	VER:pper	accueillir
par	PRP	par
le	DET:ART	le
receveur	NOM	receveur
,	PUN	,
michel	NOM	michel
conreux	ADJ	conreux
,	PUN	,
qui	PRO:REL	qui
s'	PRO:PER	se
est	VER:pres	être
fait	VER:pper	faire
un	DET:ART	un
plaisir	NOM	plaisir
de	PRP	de
leur	PRO:PER	lui
remettre	VER:infi	remettre
des	PRP:det	du
diplômes	NOM	diplôme
symbolisant	VER:ppre	symboliser
leur	DET:POS	leur
jeune	ADJ	jeune
dynamisme	NOM	dynamisme
et	KON	et
leur	DET:POS	leur
générosité	NOM	générosité
.	SENT	.
a	VER:pres	avoir
elle	PRO:PER	elle
seule	ADJ	seul
,	PUN	,
la	DET:ART	le
traversée	NOM	traversée
de	PRP	de
la	DET:ART	le
commune	NOM	commune
,	PUN	,
par	PRP	par
des	PRP:det	du
températures	NOM	température
à	PRP	à
peine	NOM	peine
supérieures	ADJ	supérieur
à	PRP	à
0	NUM	@card@
°,	NOM	°,
tient	VER:pres	tenir
de	PRP	de
l'	DET:ART	le
exploit	NOM	exploit
quand	KON	quand
on	PRO:PER	on
a	VER:pres	avoir
entre	PRP	entre
3	NUM	@card@
et	KON	et
5	NUM	@card@
ans	NOM	an
...	PUN	...
