désormais	ADV	désormais
,	PUN	,
pour	PRP	pour
joindre	VER:infi	joindre
un	DET:ART	un
conseiller	NOM	conseiller
en	PRP	en
recrutement	NOM	recrutement
et	KON	et
obtenir	VER:infi	obtenir
des	PRP:det	du
renseignements	NOM	renseignement
sur	PRP	sur
les	DET:ART	le
nombreux	ADJ	nombreux
métiers	NOM	métier
offerts	VER:pper	offrir
par	PRP	par
l'	DET:ART	le
armée	NOM	armée
de	PRP	de
l'	DET:ART	le
air	NOM	air
,	PUN	,
il	PRO:PER	il
faut	VER:pres	falloir
composer	VER:infi	composer
le	DET:ART	le
03.81	NUM	@card@
.	SENT	.
87.28	NUM	@card@
.	SENT	.
88	NUM	@card@
