ce	PRO:DEM	ce
n'	ADV	ne
est	VER:pres	être
qu'	ADV	qu'
à	PRP	à
8	NUM	@card@
h	ABR	heure
,	PUN	,
hier	ADV	hier
matin	NOM	matin
,	PUN	,
que	KON	que
la	DET:ART	le
propriétaire	NOM	propriétaire
de	PRP	de
la	DET:ART	le
parfumerie	NOM	parfumerie
ephélia	NOM	ephélia
de	PRP	de
neufchâteau	NOM	neufchâteau
a	VER:pres	avoir
découvert	VER:pper	découvrir
que	KON	que
des	PRP:det	du
individus	NOM	individu
avaient	VER:impf	avoir
fracturé	VER:pper	fracturer
sa	DET:POS	son
vitrine	NOM	vitrine
pour	PRP	pour
s'	PRO:PER	se
emparer	VER:infi	emparer
d'	PRP	de
une	DET:ART	un
dizaine	NOM	dizaine
de	PRP	de
flacons	NOM	flacon
de	PRP	de
la	DET:ART	le
devanture	NOM	devanture
.	SENT	.
le	DET:ART	le
préjudice	NOM	préjudice
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
été	VER:pper	être
estimé	VER:pper	estimer
,	PUN	,
mais	KON	mais
les	DET:ART	le
gendarmes	NOM	gendarme
de	PRP	de
neufchâteau	NOM	neufchâteau
mènent	VER:pres	mener
l'	DET:ART	le
enquête	NOM	enquête
.	SENT	.
