Key = halphen, Value = 1
Key = pr�venant, Value = 1
Key = de, Value = 9
Key = juin, Value = 1
Key = qu'il, Value = 1
Key = correctionnelle, Value = 1
Key = pierre, Value = 2
Key = du, Value = 1
Key = des, Value = 1
Key = presse, Value = 1
Key = effectu�e, Value = 1
Key = jean, Value = 1
Key = viol�, Value = 1
Key = perquisition, Value = 1
Key = diffamation, Value = 1
Key = pr�sident, Value = 1
Key = 17, Value = 2
Key = eric, Value = 1
Key = en, Value = 1
Key = d'avoir, Value = 1
Key = dans, Value = 1
Key = chambre, Value = 1
Key = 2, Value = 1
Key = (rpr), Value = 1
Key = l'assembl�e, Value = 1
Key = au, Value = 2
Key = l'instruction, Value = 1
Key = 27, Value = 1
Key = envers, Value = 1
Key = tiberi, Value = 1
Key = secret, Value = 1
Key = mardi, Value = 1
Key = parquet, Value = 1
Key = 1996, Value = 1
Key = paris, Value = 2
Key = condamnation, Value = 1
Key = accus�, Value = 1
Key = juge, Value = 2
Key = juillet, Value = 1
Key = commission, Value = 1
Key = d'instruction, Value = 1
Key = cr�teil, Value = 1
Key = figaro, Value = 1
Key = lois, Value = 1
Key = a, Value = 1
Key = mazeaud, Value = 2
Key = demand�, Value = 1
Key = maire, Value = 1
Key = pour, Value = 1
Key = une, Value = 1
Key = la, Value = 5
Key = d�cembre, Value = 1
Key = le, Value = 4
Key = avait, Value = 2
Key = domicile, Value = 1
Key = nationale, Value = 1
Key = (val-de-marne), Value = 1
Key = �, Value = 1
Key = interview, Value = 1
