finances	NOM	finance
et	KON	et
marches	NOM	marche
hermès	NOM	hermès
et	KON	et
brioche	NOM	brioche
pasquier	NOM	pasquier
sont	VER:pres	être
les	DET:ART	le
meilleures	ADJ	meilleur
valeurs	NOM	valeur
du	PRP:det	du
second	NUM	second
marché	NOM	marché
les	DET:ART	le
cinq	NUM	cinq
premiers	NOM	premier
du	PRP:det	du
palmarès	NOM	palmarès
1	NUM	@card@
.	SENT	.
hermès	NOM	hermès
international	ADJ	international
,	PUN	,
capitalisation	NOM	capitalisation
boursière	ADJ	boursier
10,5	NUM	@card@
milliards	NOM	milliard
de	PRP	de
francs	NOM	franc
pour	PRP	pour
un	DET:ART	un
chiffre	NOM	chiffre
d'	PRP	de
affaires	NOM	affaire
de	PRP	de
3,4	NUM	@card@
milliards	NOM	milliard
de	PRP	de
francs	NOM	franc
.	SENT	.
2	NUM	@card@
.	SENT	.
brioche	NOM	brioche
pasquier	NOM	pasquier
,	PUN	,
capitalisation	NOM	capitalisation
boursière	ADJ	boursier
2,1	NUM	@card@
milliards	NOM	milliard
de	PRP	de
francs	NOM	franc
pour	PRP	pour
un	DET:ART	un
chiffre	NOM	chiffre
d'	PRP	de
affaires	NOM	affaire
de	PRP	de
1,09	NUM	@card@
milliard	NOM	milliard
de	PRP	de
francs	NOM	franc
.	SENT	.
3	NUM	@card@
.	SENT	.
altran	ADJ	altran
technologies	NOM	technologie
(	PUN	(
conseils	NOM	conseil
),	ADJ	),
capitalisation	NOM	capitalisation
boursière	ADJ	boursier
1,7	NUM	@card@
milliard	NOM	milliard
de	PRP	de
francs	NOM	franc
pour	PRP	pour
un	DET:ART	un
chiffre	NOM	chiffre
d'	PRP	de
affaires	NOM	affaire
de	PRP	de
751	NUM	@card@
millions	NOM	million
de	PRP	de
francs	NOM	franc
.	SENT	.
4	NUM	@card@
.	SENT	.
m	NOM	m
6	NUM	@card@
(	PUN	(
télévision	NOM	télévision
),	ADJ	),
capitalisation	NOM	capitalisation
boursière	ADJ	boursier
4,8	NUM	@card@
milliards	NOM	milliard
de	PRP	de
francs	NOM	franc
pour	PRP	pour
un	DET:ART	un
chiffre	NOM	chiffre
d'	PRP	de
affaires	NOM	affaire
de	PRP	de
1,8	NUM	@card@
milliard	NOM	milliard
de	PRP	de
francs	NOM	franc
.	SENT	.
5	NUM	@card@
(	PUN	(
ex	ADV	ex
aequo	ADV	aequo
)	PUN	)
.	SENT	.
chaine	NOM	chaine
et	KON	et
trame	NOM	trame
(	PUN	(
impression	NOM	impression
de	PRP	de
tissus	ADJ	tissu
),	NOM	),
capitalisation	NOM	capitalisation
boursière	ADJ	boursier
213	NUM	@card@
millions	NOM	million
de	PRP	de
francs	NOM	franc
pour	PRP	pour
un	DET:ART	un
chiffre	NOM	chiffre
d'	PRP	de
affaires	NOM	affaire
de	PRP	de
429	NUM	@card@
millions	NOM	million
de	PRP	de
francs	NOM	franc
;	PUN	;
deveaux	NOM	deveaux
(	PUN	(
tissus	ADJ	tissu
teints	VER:pper	teindre
),	ADJ	),
capitalisation	NOM	capitalisation
boursière	ADJ	boursier
468	NUM	@card@
millions	NOM	million
de	PRP	de
francs	NOM	franc
pour	PRP	pour
un	DET:ART	un
chiffre	NOM	chiffre
d'	PRP	de
affaires	NOM	affaire
de	PRP	de
897	NUM	@card@
millions	NOM	million
de	PRP	de
francs	NOM	franc
.	SENT	.
