hascoet	NOM	hascoet
5	NUM	@card@
/	PUN	/
6	NUM	@card@
(	PUN	(
soultz	NAM	soultz
)	PUN	)
bat	NOM	bat
marchand	ADJ	marchand
15	NUM	@card@
(	PUN	(
asmb	NOM	asmb
)	PUN	)
6	NUM	@card@
-	PUN	-
0	NUM	@card@
6	NUM	@card@
-	PUN	-
4	NUM	@card@
kraljevic	NOM	kraljevic
2	NUM	@card@
/	PUN	/
6	NUM	@card@
(	PUN	(
tsb	NOM	tsb
)	PUN	)
bat	VER:pres	battre
lazzarotti	NOM	lazzarotti
5	NUM	@card@
/	PUN	/
6	NUM	@card@
(	PUN	(
dijon	NOM	dijon
)	PUN	)
6	NUM	@card@
-	PUN	-
0	NUM	@card@
6	NUM	@card@
-	PUN	-
2	NUM	@card@
lorber	NOM	lorber
2	NUM	@card@
/	PUN	/
6	NUM	@card@
(	PUN	(
tci	VER:pper	tci
)	PUN	)
bat	VER:pres	battre
monmayoux	NOM	monmayoux
15	NUM	@card@
(	PUN	(
asmb	NOM	asmb
)	PUN	)
7	NUM	@card@
-	PUN	-
5	NUM	@card@
6	NUM	@card@
-	PUN	-
2	NUM	@card@
dillon	NOM	dillon
1	NUM	@card@
/	PUN	/
6	NUM	@card@
(	PUN	(
levallois	ADJ	levallois
)	PUN	)
bat	VER:pres	battre
briotet	NOM	briotet
5	NUM	@card@
/	PUN	/
6	NUM	@card@
(	PUN	(
vesoul	NOM	vesoul
)	PUN	)
6	NUM	@card@
-	PUN	-
2	NUM	@card@
6	NUM	@card@
-	PUN	-
3	NUM	@card@
wacker	NOM	wacker
2	NUM	@card@
/	PUN	/
6	NUM	@card@
(	PUN	(
kronenbourg	NOM	kronenbourg
)	PUN	)
bat	VER:pres	battre
kraljevic	NOM	kraljevic
2	NUM	@card@
-	PUN	-
6	NUM	@card@
6	NUM	@card@
-	PUN	-
4	NUM	@card@
6	NUM	@card@
-	PUN	-
3	NUM	@card@
rose	NOM	rose
0	NUM	@card@
(	PUN	(
reims	NOM	reims
)	PUN	)
bat	VER:pres	battre
wacker	VER:infi	wacker
6	NUM	@card@
-	PUN	-
7	NUM	@card@
6	NUM	@card@
-	PUN	-
4	NUM	@card@
6	NUM	@card@
-	PUN	-
1	NUM	@card@
andréani	NOM	andréani
0	NUM	@card@
(	PUN	(
obernai	VER:simp	obernai
)	PUN	)
bat	VER:pres	battre
lorber	VER:infi	lorber
6	NUM	@card@
-	PUN	-
2	NUM	@card@
6	NUM	@card@
-	PUN	-
3	NUM	@card@
dillon	NOM	dillon
bat	VER:pres	battre
ruffin	NOM	ruffin
0	NUM	@card@
(	PUN	(
reims	NOM	reims
)	PUN	)
7	NUM	@card@
-	PUN	-
6	NUM	@card@
6	NUM	@card@
-	PUN	-
2	NUM	@card@
feit	NOM	feit
0	NUM	@card@
(	PUN	(
levallois	ADJ	levallois
)	PUN	)
bat	VER:pres	battre
brenot	NOM	brenot
1	NUM	@card@
/	PUN	/
6	NUM	@card@
(	PUN	(
mulhouse	NOM	mulhouse
)	PUN	)
4	NUM	@card@
-	PUN	-
6	NUM	@card@
6	NUM	@card@
-	PUN	-
2	NUM	@card@
6	NUM	@card@
-	PUN	-
1	NUM	@card@
gillet	NOM	gillet
-	PUN	-
2	NUM	@card@
/	PUN	/
6	NUM	@card@
(	PUN	(
reims	NOM	reims
)	PUN	)
bat	VER:pres	battre
feit	NOM	feit
3	NUM	@card@
-	PUN	-
6	NUM	@card@
6	NUM	@card@
-	PUN	-
0	NUM	@card@
6	NUM	@card@
-	PUN	-
4	NUM	@card@
allemand	NOM	allemand
-	PUN	-
2	NUM	@card@
/	PUN	/
6	NUM	@card@
(	PUN	(
reims	NOM	reims
)	PUN	)
bat	VER:pres	battre
andréani	NOM	andréani
6	NUM	@card@
-	PUN	-
4	NUM	@card@
6	NUM	@card@
-	PUN	-
4	NUM	@card@
wieckowski	NOM	wieckowski
-	PUN	-
4	NUM	@card@
/	PUN	/
6	NUM	@card@
(	PUN	(
thionville	NOM	thionville
)	PUN	)
bat	VER:pres	battre
dillon	NOM	dillon
6	NUM	@card@
-	PUN	-
4	NUM	@card@
6	NUM	@card@
-	PUN	-
4	NUM	@card@
roa	NOM	roa
-	PUN	-
2	NUM	@card@
/	PUN	/
6	NUM	@card@
(	PUN	(
longwy	NOM	longwy
)	PUN	)
bat	NOM	bat
rose	ADJ	rose
6	NUM	@card@
-	PUN	-
4	NUM	@card@
6	NUM	@card@
-	PUN	-
4	NUM	@card@
hartmann	NOM	hartmann
-	PUN	-
15	NUM	@card@
(	PUN	(
cc	NOM	cc
aîxois	ADJ	aîxois
)	PUN	)
bat	VER:pres	battre
gillet	NOM	gillet
6	NUM	@card@
-	PUN	-
4	NUM	@card@
2	NUM	@card@
-	PUN	-
6	NUM	@card@
6	NUM	@card@
-	PUN	-
1	NUM	@card@
allemand	NOM	allemand
-	PUN	-
2	NUM	@card@
/	PUN	/
6	NUM	@card@
(	PUN	(
reims	NOM	reims
)	PUN	)
bat	VER:pres	battre
bjelkova	NOM	bjelkova
-	PUN	-
4	NUM	@card@
/	PUN	/
6	NUM	@card@
(	PUN	(
schiltigheim	NOM	schiltigheim
)	PUN	)
6	NUM	@card@
-	PUN	-
2	NUM	@card@
6	NUM	@card@
-	PUN	-
3	NUM	@card@
