quatre	NUM	quatre
stagiaires	NOM	stagiaire
bénéficient	VER:pres	bénéficier
cette	PRO:DEM	ce
semaine	NOM	semaine
des	PRP:det	du
leçons	NOM	leçon
proposées	VER:pper	proposer
par	PRP	par
«	PUN:cit	«
clé	NOM	clé
de	PRP	de
voûte	NOM	voûte
»	PUN:cit	»
l'	DET:ART	le
objectif	NOM	objectif
de	PRP	de
la	DET:ART	le
formation	NOM	formation
est	VER:pres	être
de	PRP	de
leur	PRO:PER	lui
faire	VER:infi	faire
réaliser	VER:infi	réaliser
des	PRP:det	du
pièces	NOM	pièce
tout	ADV	tout
en	PRP	en
leur	PRO:PER	lui
donnant	VER:ppre	donner
suffisamment	ADV	suffisamment
de	PRP	de
conseils	NOM	conseil
pour	KON	pour
qu'	PRO:REL	que
ils	PRO:PER	il
puissent	VER:subp	pouvoir
être	VER:infi	être
autonomes	ADJ	autonome
par	PRP	par
la	DET:ART	le
suite	NOM	suite
.	SENT	.
la	DET:ART	le
belle	ADJ	beau
pierre	NOM	pierre
blonde	ADJ	blond
qui	PRO:REL	qui
est	VER:pres	être
utilisée	VER:pper	utiliser
se	PRO:PER	se
travaille	VER:pres	travailler
assez	ADV	assez
facilement	ADV	facilement
pour	PRP	pour
permettre	VER:infi	permettre
aux	PRP:det	au
stagiaires	NOM	stagiaire
de	PRP	de
réaliser	VER:infi	réaliser
des	PRP:det	du
	ADJ	
uvres	NOM	uvres
conséquentes	ADJ	conséquent
,	PUN	,
avec	PRP	avec
des	PRP:det	du
moyens	NOM	moyen
restreints	VER:pper	restreindre
.	SENT	.
une	DET:ART	un
massette	NOM	massette
,	PUN	,
un	DET:ART	un
ciseau	NOM	ciseau
,	PUN	,
les	DET:ART	le
conseils	NOM	conseil
de	PRP	de
maël	NAM	maël
,	PUN	,
et	KON	et
les	DET:ART	le
stagiaires	NOM	stagiaire
voient	VER:pres	voir
apparaître	VER:infi	apparaître
sous	PRP	sous
leurs	DET:POS	leur
mains	NOM	main
les	DET:ART	le
formes	NOM	forme
désirées	VER:pper	désirer
.	SENT	.
au	PRP:det	au
programme	NOM	programme
entres	VER:pres	entrer
autres	ADJ	autre
une	DET:ART	un
fontaine	NOM	fontaine
ou	KON	ou
un	DET:ART	un
cadran	NOM	cadran
solaire	ADJ	solaire
.	SENT	.
jusqu'à	NOM	jusqu'à
la	DET:ART	le
fin	NOM	fin
de	PRP	de
la	DET:ART	le
semaine	NOM	semaine
,	PUN	,
le	DET:ART	le
stage	NOM	stage
se	PRO:PER	se
déroulera	VER:futu	dérouler
dans	PRP	dans
les	DET:ART	le
locaux	NOM	local
prêtés	VER:pper	prêter
par	PRP	par
le	DET:ART	le
centre	NOM	centre
de	PRP	de
formation	NOM	formation
des	PRP:det	du
apprentis	NOM	apprenti
de	PRP	de
pont-à-mousson	NOM	pont-à-mousson
.	SENT	.
en	PRP	en
contrepartie	NOM	contrepartie
,	PUN	,
maël	NAM	maël
loquais	VER:impf	loquer
donnera	VER:futu	donner
à	PRP	à
la	DET:ART	le
fin	NOM	fin
de	PRP	de
l'	DET:ART	le
année	NOM	année
des	PRP:det	du
cours	NOM	cour|cours
aux	PRP:det	au
apprentis	NOM	apprenti
,	PUN	,
dans	PRP	dans
le	DET:ART	le
cadre	NOM	cadre
de	PRP	de
leur	DET:POS	leur
brevet	NOM	brevet
professionnel	ADJ	professionnel
.	SENT	.
un	DET:ART	un
échange	NOM	échange
de	PRP	de
bons	ADJ	bon
procédés	NOM	procédé
dans	PRP	dans
lequel	PRO:REL	lequel
tout	PRO:IND	tout
le	DET:ART	le
monde	NOM	monde
semble	VER:pres	sembler
se	PRO:PER	se
retrouver	VER:infi	retrouver
.	SENT	.
