récemment	ADV	récemment
,	PUN	,
une	DET:ART	un
cinquantaine	NOM	cinquantaine
de	PRP	de
personnes	NOM	personne
avaient	VER:impf	avoir
répondu	VER:pper	répondre
à	PRP	à
l'	DET:ART	le
invitation	NOM	invitation
de	PRP	de
leur	DET:POS	leur
président	NOM	président
jean-claude	NOM	jean-claude
ramelle	ADJ	ramelle
pour	PRP	pour
la	DET:ART	le
traditionnelle	ADJ	traditionnel
galette	NOM	galette
des	PRP:det	du
rois	NOM	roi
.	SENT	.
parmi	PRP	parmi
l'	DET:ART	le
assistance	NOM	assistance
on	PRO:PER	on
remarquait	VER:impf	remarquer
jean	NOM	jean
fleurence	NOM	fleurence
,	PUN	,
maire	NOM	maire
de	PRP	de
la	DET:ART	le
commune	NOM	commune
,	PUN	,
ainsi	KON	ainsi
que	KON	que
3	NUM	@card@
conseillers	NOM	conseiller
municipaux	ADJ	municipal
,	PUN	,
mm	NOM	mm
.	SENT	.
divoux	NOM	divoux
,	PUN	,
grandjean	ADJ	grandjean
et	KON	et
mme	ADJ	mme
ferrisse	NOM	ferrisse
.	SENT	.
par	PRP	par
la	DET:ART	le
suite	NOM	suite
,	PUN	,
le	DET:ART	le
club	NOM	club
des	PRP:det	du
petites	ADJ	petit
souris	NOM	souris
est	VER:pres	être
venu	VER:pper	venir
rejoindre	VER:infi	rejoindre
le	DET:ART	le
club	NOM	club
des	PRP:det	du
marcheurs	NOM	marcheur
.	SENT	.
