dernièrement	ADV	dernièrement
ont	VER:pres	avoir
été	VER:pper	être
remises	VER:pper	remettre
les	DET:ART	le
médailles	NOM	médaille
d'	PRP	de
honneur	NOM	honneur
du	PRP:det	du
travail	NOM	travail
au	PRP:det	au
personnel	NOM	personnel
de	PRP	de
la	DET:ART	le
société	NOM	société
berthold	NOM	berthold
de	PRP	de
dieue-sur-meuse	NOM	dieue-sur-meuse
.	SENT	.
ont	VER:pres	avoir
reçu	VER:pper	recevoir
la	DET:ART	le
médaille	NOM	médaille
d'	PRP	de
or	NOM	or
pour	PRP	pour
35	NUM	@card@
ans	NOM	an
d'	PRP	de
activités	NOM	activité
:	PUN	:
joseph	ADJ	joseph
cholewa	NOM	cholewa
,	PUN	,
conducteur	NOM	conducteur
d'	PRP	de
engin	NOM	engin
;	PUN	;
jean-pierre	NOM	jean-pierre
raspado	NOM	raspado
,	PUN	,
chef	NOM	chef
comptable	ADJ	comptable
;	PUN	;
et	KON	et
michel	NOM	michel
rudigier	ADJ	rudigier
,	PUN	,
maçon	ADJ	maçon
.	SENT	.
la	DET:ART	le
médaille	NOM	médaille
de	PRP	de
vermeil	NOM	vermeil
pour	PRP	pour
30	NUM	@card@
ans	NOM	an
d'	PRP	de
activités	NOM	activité
a	VER:pres	avoir
été	VER:pper	être
remise	VER:pper	remettre
à	PRP	à
patrick	NOM	patrick
boughon	NOM	boughon
,	PUN	,
maçon	ADJ	maçon
;	PUN	;
luc	NOM	luc
carré	ADJ	carré
,	PUN	,
chef	NOM	chef
d'	PRP	de
équipe	NOM	équipe
;	PUN	;
henri	VER:pper	henri
malnoury	NOM	malnoury
,	PUN	,
technicien	ADJ	technicien
service	NOM	service
prix	NOM	prix
;	PUN	;
et	KON	et
gérard	ADJ	gérard
rouyer	NOM	rouyer
,	PUN	,
dessinateur	NOM	dessinateur
projeteur	NOM	projeteur
.	SENT	.
les	PRO:PER	la|le
médaillés	VER:pper	médailler
d'	PRP	de
argent	NOM	argent
,	PUN	,
pour	PRP	pour
20	NUM	@card@
ans	NOM	an
d'	PRP	de
activités	NOM	activité
,	PUN	,
sont	VER:pres	être
:	PUN	:
philippe	ADJ	philippe
georget	NOM	georget
,	PUN	,
technicien	ADJ	technicien
service	NOM	service
prix	NOM	prix
;	PUN	;
robert	NOM	robert
giacovelli	NOM	giacovelli
,	PUN	,
maçon	ADJ	maçon
et	KON	et
dominique	ADJ	dominique
kieffer	NOM	kieffer
,	PUN	,
maçon	ADJ	maçon
.	SENT	.
le	PRO:PER	le
médaillé	VER:pper	médailler
argent	NOM	argent
(	PUN	(
20	NUM	@card@
ans	NOM	an
d'	PRP	de
activités	NOM	activité
)	PUN	)
des	PRP:det	du
ouvrages	NOM	ouvrage
d'	PRP	de
art	NOM	art
de	PRP	de
l'	DET:ART	le
est	NOM	est
à	PRP	à
récy	NOM	récy
dans	PRP	dans
la	DET:ART	le
marne	NOM	marne
est	VER:pres	être
:	PUN	:
abdelkader	NOM	abdelkader
amer	ADJ	amer
,	PUN	,
chef	NOM	chef
d'	PRP	de
équipe	NOM	équipe
.	SENT	.
