estimant	VER:ppre	estimer
qu'	KON	que
il	PRO:PER	il
n'	ADV	ne
y	PRO:PER	y
avait	VER:impf	avoir
«	PUN:cit	«
pas	ADV	pas
actuellement	ADV	actuellement
de	PRP	de
fondement	NOM	fondement
pour	PRP	pour
un	DET:ART	un
recours	NOM	recours
à	PRP	à
la	DET:ART	le
force	NOM	force
»	PUN:cit	»
dans	PRP	dans
le	DET:ART	le
conflit	NOM	conflit
irakien	ADJ	irakien
,	PUN	,
vladimir	VER:infi	vladimir
poutine	NOM	poutine
a	VER:pres	avoir
annoncé	VER:pper	annoncer
hier	ADV	hier
à	PRP	à
l'	DET:ART	le
issue	NOM	issue
d'	PRP	de
un	DET:ART	un
entretien	NOM	entretien
avec	PRP	avec
le	DET:ART	le
chancelier	NOM	chancelier
allemand	ADJ	allemand
gerhard	NOM	gerhard
schröder	NOM	schröder
,	PUN	,
que	KON	que
la	DET:ART	le
russie	NOM	russie
allait	VER:impf	aller
travailler	VER:infi	travailler
«	PUN:cit	«
étroitement	ADV	étroitement
»	PUN:cit	»
avec	PRP	avec
la	DET:ART	le
france	NOM	france
et	KON	et
l'	DET:ART	le
allemagne	NOM	allemagne
au	PRP:det	au
conseil	NOM	conseil
de	PRP	de
sécurité	NOM	sécurité
de	PRP	de
l'	DET:ART	le
onu	NOM	onu
.	SENT	.
la	DET:ART	le
russie	NOM	russie
est	VER:pres	être
«	PUN:cit	«
presqu'entièrement	NOM	presqu'entièrement
d'	PRP	de
accord	NOM	accord
»	PUN:cit	»
avec	PRP	avec
la	DET:ART	le
france	NOM	france
et	KON	et
l'	DET:ART	le
allemagne	NOM	allemagne
sur	PRP	sur
la	DET:ART	le
façon	NOM	façon
de	PRP	de
résoudre	VER:infi	résoudre
la	DET:ART	le
crise	NOM	crise
irakienne	ADJ	irakien
,	PUN	,
a	VER:pres	avoir
encore	ADV	encore
déclaré	VER:pper	déclarer
le	DET:ART	le
président	NOM	président
russe	ADJ	russe
.	SENT	.
