si	KON	si
l'	DET:ART	le
ancien	ADJ	ancien
ministre	NOM	ministre
des	PRP:det	du
affaires	NOM	affaire
étrangères	ADJ	étranger
a	VER:pres	avoir
été	VER:pper	être
relaxé	VER:pper	relaxer
(	PUN	(
en	PRP	en
première	NUM	premier
instance	NOM	instance
,	PUN	,
il	PRO:PER	il
avait	VER:impf	avoir
été	VER:pper	être
condamné	VER:pper	condamner
à	PRP	à
six	NUM	six
mois	NOM	moi|mois
de	PRP	de
prison	NOM	prison
ferme	ADJ	ferme
et	KON	et
deux	NUM	deux
ans	NOM	an
avec	PRP	avec
sursis	NOM	sursis
)	PUN	)
ce	PRO:DEM	ce
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
le	DET:ART	le
cas	NOM	cas
des	PRP:det	du
autres	ADJ	autre
prévenus	ADJ	prévenu
.	SENT	.
loïk	NOM	loïk
le	DET:ART	le
floch-prigent	NOM	floch-prigent
a	VER:pres	avoir
été	VER:pper	être
condamné	VER:pper	condamner
à	PRP	à
trente	NUM	trente
mois	NOM	moi|mois
de	PRP	de
prison	NOM	prison
ferme	ADJ	ferme
avec	PRP	avec
mandat	NOM	mandat
d'	PRP	de
arrêt	NOM	arrêt
.	SENT	.
absent	ADJ	absent
lors	ADV	lors
de	PRP	de
l'	DET:ART	le
audience	NOM	audience
pour	PRP	pour
raisons	NOM	raison
de	PRP	de
santé	NOM	santé
,	PUN	,
il	PRO:PER	il
devrait	VER:cond	devoir
être	VER:infi	être
écroué	VER:pper	écrouer
rapidement	ADV	rapidement
.	SENT	.
(	PUN	(
trois	NUM	trois
ans	NOM	an
et	KON	et
demi	NOM	demi
de	PRP	de
prison	NOM	prison
ferme	ADJ	ferme
en	PRP	en
première	NUM	premier
instance	NOM	instance
).	VER:subi	).
alfred	ADJ	alfred
sirven	NOM	sirven
a	VER:pres	avoir
été	VER:pper	être
condamné	VER:pper	condamner
à	PRP	à
trois	NUM	trois
ans	NOM	an
de	PRP	de
prison	NOM	prison
ferme	ADJ	ferme
.	SENT	.
ecroué	VER:pper	ecroué
depuis	PRP	depuis
février	NOM	février
2001	NUM	@card@
il	PRO:PER	il
reste	VER:pres	rester
par	PRP	par
conséquent	ADJ	conséquent
en	PRP	en
détention	NOM	détention
,	PUN	,
n'	ADV	ne
ayant	VER:ppre	avoir
pas	ADV	pas
purgé	VER:pper	purger
l'	DET:ART	le
intégralité	NOM	intégralité
de	PRP	de
sa	DET:POS	son
peine	NOM	peine
(	PUN	(
4	NUM	@card@
ans	NOM	an
ferme	ADJ	ferme
en	PRP	en
première	NUM	premier
instance	NOM	instance
).	VER:subi	).
christine	ADJ	christine
deviers-joncour	NOM	deviers-joncour
a	VER:pres	avoir
été	VER:pper	être
condamnée	VER:pper	condamner
à	PRP	à
18	NUM	@card@
mois	NOM	moi|mois
de	PRP	de
prison	NOM	prison
ferme	ADJ	ferme
et	KON	et
douze	NUM	douze
mois	NOM	moi|mois
avec	PRP	avec
sursis	NOM	sursis
.	SENT	.
cette	PRO:DEM	ce
peine	NOM	peine
n'	ADV	ne
étant	VER:ppre	être
pas	ADV	pas
assortie	VER:pper	assortir
d'	PRP	de
un	DET:ART	un
mandat	NOM	mandat
de	PRP	de
dépôt	NOM	dépôt
,	PUN	,
mme	VER:simp	mme
deviers-joncour	NOM	deviers-joncour
,	PUN	,
qui	PRO:REL	qui
a	VER:pres	avoir
déjà	ADV	déjà
effectué	VER:pper	effectuer
six	NUM	six
mois	NOM	moi|mois
de	PRP	de
détention	NOM	détention
provisoire	ADJ	provisoire
,	PUN	,
reste	VER:pres	rester
libre	ADJ	libre
pour	PRP	pour
l'	DET:ART	le
instant	NOM	instant
.	SENT	.
a	VER:pres	avoir
moins	ADV	moins
d'	PRP	de
un	DET:ART	un
éventuel	ADJ	éventuel
pourvoi	NOM	pourvoi
en	PRP	en
cassation	NOM	cassation
,	PUN	,
qui	PRO:REL	qui
a	VER:pres	avoir
un	DET:ART	un
effet	NOM	effet
suspensif	ADJ	suspensif
,	PUN	,
cette	PRO:DEM	ce
décision	NOM	décision
deviendra	VER:futu	devenir
définitive	ADJ	définitif
et	KON	et
donc	ADV	donc
synonyme	ADJ	synonyme
de	PRP	de
retour	NOM	retour
en	PRP	en
prison	NOM	prison
.	SENT	.
en	PRP	en
première	NUM	premier
instance	NOM	instance
,	PUN	,
elle	PRO:PER	elle
avait	VER:impf	avoir
été	VER:pper	être
condamnée	VER:pper	condamner
à	PRP	à
18	NUM	@card@
mois	NOM	moi|mois
de	PRP	de
prison	NOM	prison
,	PUN	,
18	NUM	@card@
mois	NOM	moi|mois
avec	PRP	avec
sursis	NOM	sursis
.	SENT	.
gilbert	NOM	gilbert
miara	NOM	miara
a	VER:pres	avoir
été	VER:pper	être
condamné	VER:pper	condamner
à	PRP	à
12	NUM	@card@
mois	NOM	moi|mois
de	PRP	de
prison	NOM	prison
ferme	ADJ	ferme
et	KON	et
douze	NUM	douze
mois	NOM	moi|mois
avec	PRP	avec
sursis	NOM	sursis
.	SENT	.
(	PUN	(
18	NUM	@card@
mois	NOM	moi|mois
ferme	ADJ	ferme
en	PRP	en
première	NUM	premier
instance	NOM	instance
).	ADJ	).
