j-p	NOM	j-p
.	SENT	.
pierrat	NOM	pierrat
(	PUN	(
2	NUM	@card@
e)	NOM	e)
:	PUN	:
«	PUN:cit	«
j'	PRO:PER	je
ai	VER:pres	avoir
rapidement	ADV	rapidement
lever	VER:infi	lever
le	DET:ART	le
pied	NOM	pied
à	PRP	à
cause	NOM	cause
d'	PRP	de
un	DET:ART	un
point	NOM	point
...	PUN	...
j'	PRO:PER	je
ai	VER:pres	avoir
bien	ADV	bien
soufflé	VER:pper	souffler
et	KON	et
je	PRO:PER	je
suis	VER:pres	suivre|être
reparti	VER:pper	repartir
progressivement	ADV	progressivement
.	SENT	.
je	PRO:PER	je
sentais	VER:impf	sentir
que	KON	que
j'	PRO:PER	je
avais	VER:impf	avoir
les	DET:ART	le
jambes	NOM	jambe
pour	PRP	pour
aller	VER:infi	aller
rechercher	VER:infi	rechercher
le	DET:ART	le
deuxième	NUM	deuxième
.	SENT	.
»	PUN:cit	»
d.	ABR	d.
duchêne	NOM	duchêne
(	PUN	(
3	NUM	@card@
e)	NOM	e)
:	PUN	:
«	PUN:cit	«
j'	PRO:PER	je
ai	VER:pres	avoir
été	VER:pper	être
un	DET:ART	un
peu	ADV	peu
surpris	VER:pper	surprendre
de	PRP	de
me	PRO:PER	me
trouver	VER:infi	trouver
rapidement	ADV	rapidement
devant	ADV	devant
.	SENT	.
la	DET:ART	le
distance	NOM	distance
me	PRO:PER	me
paraissais	VER:impf	paraître
un	DET:ART	un
peu	ADV	peu
longue	ADJ	longue
mais	KON	mais
,	PUN	,
je	PRO:PER	je
pense	VER:pres	penser
aussi	ADV	aussi
que	KON	que
j'	PRO:PER	je
avais	VER:impf	avoir
plus	ADV	plus
de	PRP	de
puissance	NOM	puissance
,	PUN	,
ce	PRO:DEM	ce
qui	PRO:REL	qui
m'	PRO:PER	me
a	VER:pres	avoir
servi	VER:pper	servir
sur	PRP	sur
ce	PRO:DEM	ce
genre	NOM	genre
de	PRP	de
terrain	NOM	terrain
.	SENT	.
»	PUN:cit	»
s.	ABR	s.
jéchoux	NOM	jéchoux
(	PUN	(
4	NUM	@card@
e)	NOM	e)
:	PUN	:
«	PUN:cit	«
j'	PRO:PER	je
ai	VER:pres	avoir
été	VER:pper	être
surpris	VER:pper	surprendre
par	PRP	par
dominique	ADJ	dominique
duchêne	NOM	duchêne
avec	PRP	avec
qui	PRO:REL	qui
j'	PRO:PER	je
ai	VER:pres	avoir
fait	VER:pper	faire
un	DET:ART	un
bon	ADJ	bon
bout	NOM	bout
de	PRP	de
chemin	NOM	chemin
puis	ADV	puis
il	PRO:PER	il
m'	PRO:PER	me
a	VER:pres	avoir
lâché	VER:pper	lâcher
.	SENT	.
il	PRO:PER	il
était	VER:impf	être
beaucoup	ADV	beaucoup
plus	ADV	plus
à	PRP	à
l'	DET:ART	le
aise	NOM	aise
que	PRO:REL	que
moi	PRO:PER	moi
sur	PRP	sur
ce	PRO:DEM	ce
sol	NOM	sol
gelé	ADJ	gelé
.	SENT	.
»	PUN:cit	»
s.	ABR	s.
cossin	NOM	cossin
(	PUN	(
1	NUM	@card@
e	NOM	e
r	VER:subi	r
cross	NOM	cross
court	ADJ	court
)	PUN	)
:	PUN	:
je	PRO:PER	je
reprends	VER:pres	reprendre
mon	DET:POS	mon
entraînement	NOM	entraînement
spécifique	ADJ	spécifique
pour	PRP	pour
le	DET:ART	le
marathon	NOM	marathon
dès	PRP	dès
la	DET:ART	le
semaine	NOM	semaine
prochaine	ADJ	prochain
,	PUN	,
en	PRP	en
préparation	NOM	préparation
du	PRP:det	du
marathon	NOM	marathon
de	PRP	de
paris	NOM	pari
.	SENT	.
c'	PRO:DEM	ce
était	VER:impf	être
donc	ADV	donc
une	DET:ART	un
bonne	ADJ	bon
séance	NOM	séance
mais	KON	mais
avec	PRP	avec
quelques	PRO:IND	quelque
pièges	NOM	piège
à	PRP	à
éviter	VER:infi	éviter
concernant	PRP	concernant
le	DET:ART	le
terrain	NOM	terrain
très	ADV	très
gelé	VER:pper	geler
.	SENT	.
je	PRO:PER	je
me	PRO:PER	me
suis	VER:pres	suivre|être
d'	PRP	de
ailleurs	ADV	ailleurs
fait	VER:pper	faire
peur	NOM	peur
à	PRP	à
certains	PRO:IND	certain
endroits	NOM	endroit
.	SENT	.
»	PUN:cit	»
f.	ABR	f.
taalaa	NOM	taalaa
(	PUN	(
2	NUM	@card@
e	ADJ	e
cross	NOM	cross
court	ADJ	court
)	PUN	)
:	PUN	:
«	PUN:cit	«
je	PRO:PER	je
pensais	VER:impf	penser
finir	VER:infi	finir
bien	ADV	bien
plus	ADV	plus
mal	ADV	mal
vu	VER:pper	voir
que	KON	que
je	PRO:PER	je
soirs	NOM	soir
tout	ADV	tout
juste	ADJ	juste
d'	PRP	de
une	DET:ART	un
petite	ADJ	petit
sciatique	NOM	sciatique
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
pour	PRP	pour
cela	PRO:DEM	cela
que	PRO:REL	que
je	PRO:PER	je
me	PRO:PER	me
suis	VER:pres	suivre|être
engagé	VER:pper	engager
sur	PRP	sur
le	DET:ART	le
court	NOM	court
et	KON	et
ça	PRO:DEM	cela
m'	PRO:PER	me
a	VER:pres	avoir
finalement	ADV	finalement
rassuré	VER:pper	rassurer
.	SENT	.
»	PUN:cit	»
s.	ABR	s.
dorvault	NOM	dorvault
(	PUN	(
3	NUM	@card@
e	ADJ	e
cross	NOM	cross
court	ADJ	court
)	PUN	)
:	PUN	:
«	PUN:cit	«
je	PRO:PER	je
suis	VER:pres	suivre|être
plutôt	ADV	plutôt
un	DET:ART	un
adepte	NOM	adepte
du	PRP:det	du
marathon	NOM	marathon
mais	KON	mais
nous	PRO:PER	nous
avons	VER:pres	avoir
les	DET:ART	le
championnats	NOM	championnat
de	PRP	de
france	NOM	france
inter-armées	VER:pper	inter-armées
bientôt	ADV	bientôt
et	KON	et
en	PRP	en
tant	ADV	tant
que	KON	que
gendarme	NOM	gendarme
,	PUN	,
j'	PRO:PER	je
y	PRO:PER	y
serais	VER:cond	être
et	KON	et
ce	PRO:DEM	ce
sera	VER:futu	être
sur	PRP	sur
du	PRP:det	du
court	NOM	court
.	SENT	.
c'	PRO:DEM	ce
était	VER:impf	être
une	DET:ART	un
bonne	ADJ	bon
répétition	NOM	répétition
.	SENT	.
»	PUN:cit	»
p.	ABR	p.
habran	NOM	habran
(	PUN	(
1	NUM	@card@
r	NOM	r
e	VER:subi	e
vétéran	NOM	vétéran
)	PUN	)
:	PUN	:
«	PUN:cit	«
je	PRO:PER	je
sais	VER:pres	savoir
que	KON	que
c'	PRO:DEM	ce
est	VER:pres	être
ma	DET:POS	mon
faiblesse	NOM	faiblesse
ce	PRO:DEM	ce
genre	NOM	genre
de	PRP	de
sol	NOM	sol
gelé	ADJ	gelé
et	KON	et
durs	ADJ	dur
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
pour	PRP	pour
cela	PRO:DEM	cela
d'	PRP	de
ailleurs	ADV	ailleurs
que	KON	que
je	PRO:PER	je
ne	ADV	ne
fais	VER:pres	faire
jamais	ADV	jamais
les	DET:ART	le
courses	NOM	course
de	PRP	de
montagne	NOM	montagne
.	SENT	.
ceci	PRO:DEM	ceci
dit	VER:pres	dire
je	PRO:PER	je
n'	ADV	ne
ai	VER:pres	avoir
pas	ADV	pas
dit	VER:pper	dire
mon	DET:POS	mon
dernier	ADJ	dernier
mot	NOM	mot
concernant	VER:ppre	concerner
le	DET:ART	le
classement	NOM	classement
scratch	ADJ	scratch
.	SENT	.
je	PRO:PER	je
compte	VER:pres	compter
bien	ADV	bien
me	PRO:PER	me
rattraper	VER:infi	rattraper
aux	PRP:det	au
championnats	NOM	championnat
de	PRP	de
lorraine	NOM	lorrain
.	SENT	.
»	PUN:cit	»
j-m	NOM	j-m
.	SENT	.
géhin	NOM	géhin
(	PUN	(
1	NUM	@card@
e	NOM	e
r	VER:subi	r
vétéran	NOM	vétéran
)	PUN	)
:	PUN	:
«	PUN:cit	«
c'	PRO:DEM	ce
était	VER:impf	être
mon	DET:POS	mon
dernier	ADJ	dernier
cross	NOM	cross
de	PRP	de
la	DET:ART	le
saison	NOM	saison
et	KON	et
le	DET:ART	le
dernier	ADJ	dernier
de	PRP	de
ma	DET:POS	mon
carrière	NOM	carrière
aussi	ADV	aussi
.	SENT	.
je	PRO:PER	je
vais	VER:pres	aller
faire	VER:infi	faire
le	DET:ART	le
championnat	NOM	championnat
de	PRP	de
france	NOM	france
de	PRP	de
100	NUM	@card@
km	ABR	kilomètre
avec	PRP	avec
l'	DET:ART	le
espoir	NOM	espoir
d'	PRP	de
être	VER:infi	être
retenu	VER:pper	retenir
pour	PRP	pour
les	DET:ART	le
mondiaux	ADJ	mondial
en	PRP	en
chine	NOM	chine
et	KON	et
je	PRO:PER	je
mettrait	VER:cond	mettre
un	DET:ART	un
terme	NOM	terme
à	PRP	à
ma	DET:POS	mon
carrière	NOM	carrière
.	SENT	.
»	PUN:cit	»
