bar-le-duc	NOM	bar-le-duc
.	SENT	.
_	NOM	_
avec	PRP	avec
deux	NUM	deux
rencontres	NOM	rencontre
de	PRP	de
plus	ADV	plus
à	PRP	à
jouer	VER:infi	jouer
et	KON	et
toujours	ADV	toujours
invaincus	ADJ	invaincu
,	PUN	,
les	DET:ART	le
nordistes	NOM	nordiste
du	PRP:det	du
hbc	NOM	hbc
montmédy	ADJ	montmédy
semblent	VER:pres	sembler
sur	PRP	sur
la	DET:ART	le
bonne	ADJ	bon
voie	NOM	voie
pour	PRP	pour
conquérir	VER:infi	conquérir
le	DET:ART	le
titre	NOM	titre
en	PRP	en
promotion	NOM	promotion
lorraine	ADJ	lorrain
masculins	ADJ	masculin
.	SENT	.
toutefois	ADV	toutefois
,	PUN	,
il	PRO:PER	il
faudra	VER:futu	falloir
conserver	VER:infi	conserver
le	DET:ART	le
dynamisme	NOM	dynamisme
actuel	ADJ	actuel
,	PUN	,
d'	PRP	de
autant	ADV	autant
plus	ADV	plus
que	KON	que
le	DET:ART	le
faux-pas	NOM	faux-pas
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
exclu	ADJ	exclu
face	NOM	face
aux	PRP:det	au
équipes	NOM	équipe
de	PRP	de
tête	NOM	tête
,	PUN	,
ras	ADJ	ras
etain	NOM	etain
(	PUN	(
2	NUM	@card@
)	PUN	)
et	KON	et
,	PUN	,
à	PRP	à
un	DET:ART	un
moindre	ADJ	moindre
degré	NOM	degré
,	PUN	,
ptt	NOM	ptt
bar	NOM	bar
(	PUN	(
3	NUM	@card@
),	ABR	),
ces	PRO:DEM	ce
trois	NUM	trois
formations	NOM	formation
devant	PRP	devant
figurer	VER:infi	figurer
sur	PRP	sur
le	DET:ART	le
podium	NOM	podium
duquel	PRO:REL	duquel
revigny	VER:subi	revigny
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
exclu	VER:pper	exclure
.	SENT	.
au	PRP:det	au
niveau	NOM	niveau
excellence	NOM	excellence
masculins	ADJ	masculin
meuse	ADJ	meuse
,	PUN	,
les	DET:ART	le
nouveaux	ADJ	nouveau
venus	NOM	venu
,	PUN	,
asl	NOM	asl
cousances	VER:ppre	cousances
(	PUN	(
invaincu	ADJ	invaincu
)	PUN	)
et	KON	et
hbc	ADJ	hbc
damvillers	NOM	damvillers
,	PUN	,
pointent	VER:pres	pointer
respectivement	ADV	respectivement
à	PRP	à
la	DET:ART	le
1	NUM	@card@
è	NOM	è
re	VER:subi	re
et	KON	et
3	NUM	@card@
e	ADJ	e
places	NOM	place
avec	PRP	avec
un	DET:ART	un
match	NOM	match
de	PRP	de
plus	ADV	plus
à	PRP	à
jouer	VER:infi	jouer
,	PUN	,
étant	VER:ppre	être
séparés	VER:pper	séparer
par	PRP	par
la	DET:ART	le
réserve	NOM	réserve
de	PRP	de
void	NOM	void
,	PUN	,
qui	PRO:REL	qui
a	VER:pres	avoir
également	ADV	également
creusé	VER:pper	creuser
l'	DET:ART	le
écart	NOM	écart
avec	PRP	avec
les	DET:ART	le
équipes	NOM	équipe
poursuivantes	NOM	poursuivant
.	SENT	.
en	PRP	en
promotion	NOM	promotion
féminines	ADJ	féminin
,	PUN	,
première	NUM	premier
phase	NOM	phase
,	PUN	,
us	NOM	us
thierville	NOM	thierville
,	PUN	,
invaincue	ADJ	invaincu
,	PUN	,
a	VER:pres	avoir
dominé	VER:pper	dominer
le	DET:ART	le
sujet	NOM	sujet
.	SENT	.
pour	PRP	pour
la	DET:ART	le
seconde	NUM	second
phase	NOM	phase
de	PRP	de
la	DET:ART	le
compétition	NOM	compétition
(	PUN	(
1	NUM	@card@
e	NOM	e
