probablement	ADV	probablement
la	DET:ART	le
conséquence	NOM	conséquence
des	PRP:det	du
fortes	ADJ	fort
gelées	NOM	gelée
actuelles	ADJ	actuel
,	PUN	,
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
bisontins	ADJ	bisontin
ont	VER:pres	avoir
effectué	VER:pper	effectuer
cinq	NUM	cinq
sorties	NOM	sortie
dans	PRP	dans
la	DET:ART	le
nuit	NOM	nuit
de	PRP	de
dimanche	NOM	dimanche
à	PRP	à
lundi	NOM	lundi
,	PUN	,
entre	PRP	entre
20	NUM	@card@
h	ABR	heure
et	KON	et
minuit	NOM	minuit
,	PUN	,
et	KON	et
portant	VER:ppre	porter
sur	PRP	sur
des	PRP:det	du
fuites	NOM	fuite
d'	PRP	de
eau	NOM	eau
qui	PRO:REL	qui
se	PRO:PER	se
sont	VER:pres	être
déclarées	VER:pper	déclarer
dans	PRP	dans
des	PRP:det	du
immeubles	NOM	immeuble
de	PRP	de
besançon	NOM	besançon
.	SENT	.
