roger	VER:infi	roger
dalluz	NOM	dalluz
,	PUN	,
adjoint	VER:pper	adjoindre
,	PUN	,
a	VER:pres	avoir
uni	VER:pper	unir
samedi	NOM	samedi
par	PRP	par
les	DET:ART	le
liens	NOM	lien
du	PRP:det	du
mariage	NOM	mariage
,	PUN	,
soumia	VER:simp	soumia
badre	NOM	badre
,	PUN	,
domiciliée	VER:pper	domicilier
rue	NOM	rue
des	PRP:det	du
frères-lumière	NOM	frères-lumière
à	PRP	à
bethoncourt	NOM	bethoncourt
,	PUN	,
et	KON	et
iman	NOM	iman
chakroun	ADJ	chakroun
,	PUN	,
intérimaire	ADJ	intérimaire
,	PUN	,
demeurant	VER:ppre	demeurer
rue	NOM	rue
frédéric-parrot	NOM	frédéric-parrot
à	PRP	à
valentigney	NOM	valentigney
.	SENT	.
nos	DET:POS	notre
v	NOM	v
	ADJ	
ux	ADJ	ux
de	PRP	de
bonheur	NOM	bonheur
à	PRP	à
ce	PRO:DEM	ce
tout	ADV	tout
nouveau	ADJ	nouveau
couple	NOM	couple
.	SENT	.
