«	PUN:cit	«
le	DET:ART	le
froid	NOM	froid
,	PUN	,
la	DET:ART	le
boue	NOM	boue
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
typiquement	ADV	typiquement
une	DET:ART	un
épreuve	NOM	épreuve
de	PRP	de
cross	NOM	cross
.	SENT	.
ca	NOM	ca
ne	ADV	ne
me	PRO:PER	me
dérange	VER:pres	déranger
pas	ADV	pas
.	SENT	.
cette	PRO:DEM	ce
victoire	NOM	victoire
me	PRO:PER	me
fait	VER:pres	faire
d'	PRP	de
autant	ADV	autant
plus	ADV	plus
plaisir	NOM	plaisir
que	PRO:REL	que
j'	PRO:PER	je
avais	VER:impf	avoir
déjà	ADV	déjà
remporté	VER:pper	remporter
le	DET:ART	le
titre	NOM	titre
régional	ADJ	régional
en	PRP	en
cadettes	NOM	cadet
.	SENT	.
j'	PRO:PER	je
espère	VER:pres	espérer
surtout	ADV	surtout
aller	VER:infi	aller
le	DET:ART	le
plus	ADV	plus
haut	ADV	haut
possible	ADJ	possible
.	SENT	.
mais	KON	mais
ce	PRO:DEM	ce
ne	ADV	ne
fut	VER:simp	être
vraiment	ADV	vraiment
pas	ADV	pas
facile	ADJ	facile
.	SENT	.
a	VER:pres	avoir
certains	PRO:IND	certain
endroits	NOM	endroit
,	PUN	,
on	PRO:PER	on
a	VER:pres	avoir
l'	DET:ART	le
impression	NOM	impression
de	PRP	de
rester	VER:infi	rester
scotché	VER:pper	scotcher
dans	PRP	dans
la	DET:ART	le
boue	NOM	boue
.	SENT	.
je	PRO:PER	je
ne	ADV	ne
m'	PRO:PER	me
étais	VER:impf	être
pas	ADV	pas
mis	VER:pper	mettre
en	PRP	en
tête	NOM	tête
de	PRP	de
gagner	VER:infi	gagner
absolument	ADV	absolument
.	SENT	.
sur	PRP	sur
une	DET:ART	un
course	NOM	course
je	PRO:PER	je
sais	VER:pres	savoir
très	ADV	très
bien	ADV	bien
qu'	KON	que
il	PRO:PER	il
peut	VER:pres	pouvoir
arriver	VER:infi	arriver
n'	ADV	ne
importe	VER:pres	importer
quoi	PRO	quoi
».	ABR	».
