mures-erigne	NOM	mures-erigne
.	SENT	.
_	ABR	_
em	VER:futu	em
vesoul	NOM	vesoul
bat	VER:pres	battre
murs-erigne	NOM	murs-erigne
11	NUM	@card@
-	PUN	-
9	NUM	@card@
l'	DET:ART	le
em	ADJ	em
vesoul	NOM	vesoul
s'	PRO:PER	se
est	VER:pres	être
imposée	VER:pper	imposer
par	PRP	par
le	DET:ART	le
plus	ADV	plus
faible	ADJ	faible
écart	NOM	écart
grâce	NOM	grâce
surtout	ADV	surtout
aux	PRP:det	au
''	NOM	''
sans-faute'	ADJ	sans-faute'
'	PUN	'
de	PRP	de
parmentier	NOM	parmentier
et	KON	et
genin	NOM	genin
(	PUN	(
3	NUM	@card@
simples	NOM	simple
et	KON	et
1	NUM	@card@
double	NOM	double
).	ADJ	).
a	VER:pres	avoir
souligner	VER:infi	souligner
la	DET:ART	le
''	NOM	''
perf'	ADJ	perf'
'	PUN	'
décisive	ADJ	décisif
,	PUN	,
lors	ADV	lors
de	PRP	de
la	DET:ART	le
dernière	ADJ	dernier
rencontre	NOM	rencontre
,	PUN	,
de	PRP	de
hernandez	NOM	hernandez
(	PUN	(
à	PRP	à
25	NUM	@card@
)	PUN	)
sur	PRP	sur
selin	NOM	selin
(	PUN	(
n	VER:simp	n
°	NOM	°
581	NUM	@card@
).	ABR	).
les	DET:ART	le
résultats	NOM	résultat
simples	ADJ	simple
:	PUN	:
merlin	NOM	merlin
(	PUN	(
emv	NOM	emv
,	PUN	,
n	VER:simp	n
°	NOM	°
530	NUM	@card@
)	PUN	)
bat	VER:pres	battre
claveau	NOM	claveau
(	PUN	(
n	VER:simp	n
°	NOM	°
359	NUM	@card@
)	PUN	)
3	NUM	@card@
-	PUN	-
2	NUM	@card@
;	PUN	;
battu	VER:pper	battre
par	PRP	par
merceron	NOM	merceron
(	PUN	(
n	VER:simp	n
°	NOM	°
152	NUM	@card@
)	PUN	)
1	NUM	@card@
-	PUN	-
3	NUM	@card@
et	KON	et
par	PRP	par
hergault	NOM	hergault
(	PUN	(
n	VER:simp	n
°	NOM	°
123	NUM	@card@
)	PUN	)
0	NUM	@card@
-	PUN	-
3	NUM	@card@
anne	NOM	anne
(	PUN	(
mev	NOM	mev
,	PUN	,
n	VER:simp	n
°	NOM	°
721	NUM	@card@
)	PUN	)
bat	VER:pres	battre
claveau	NOM	claveau
3	NUM	@card@
-	PUN	-
0	NUM	@card@
;	PUN	;
battu	VER:pper	battre
par	PRP	par
merceron	NOM	merceron
1	NUM	@card@
-	PUN	-
3	NUM	@card@
et	KON	et
par	PRP	par
hergault	NOM	hergault
1	NUM	@card@
-	PUN	-
3	NUM	@card@
parmentier	NOM	parmentier
(	PUN	(
emv	NOM	emv
,	PUN	,
n	VER:simp	n
°	NOM	°
62	NUM	@card@
)	PUN	)
bat	VER:pres	battre
hergault	NOM	hergault
3	NUM	@card@
-	PUN	-
0	NUM	@card@
;	PUN	;
bat	VER:pres	battre
claveau	NOM	claveau
3	NUM	@card@
-	PUN	-
0	NUM	@card@
;	PUN	;
bat	VER:pres	battre
merceron	NOM	merceron
3	NUM	@card@
-	PUN	-
1	NUM	@card@
b.	ABR	b.
genin	NOM	genin
(	PUN	(
emv	NOM	emv
,	PUN	,
n	VER:simp	n
°	NOM	°
537	NUM	@card@
)	PUN	)
bat	VER:pres	battre
vandewalle	NOM	vandewalle
(	PUN	(
n	VER:simp	n
°	NOM	°
387	NUM	@card@
)	PUN	)
3	NUM	@card@
-	PUN	-
0	NUM	@card@
;	PUN	;
bat	VER:pres	battre
selin	NOM	selin
(	PUN	(
n	VER:simp	n
°	NOM	°
381	NUM	@card@
)	PUN	)
3	NUM	@card@
-	PUN	-
2	NUM	@card@
;	PUN	;
bat	VER:pres	battre
chemin	NOM	chemin
(	PUN	(
n	VER:simp	n
°	NOM	°
301	NUM	@card@
)	PUN	)
3	NUM	@card@
-	PUN	-
0	NUM	@card@
croizier	NOM	croizier
(	PUN	(
emv	NOM	emv
,	PUN	,
à	PRP	à
25	NUM	@card@
)	PUN	)
battu	VER:pper	battre
par	PRP	par
selin	NOM	selin
2	NUM	@card@
-	PUN	-
3	NUM	@card@
;	PUN	;
par	PRP	par
chemin	NOM	chemin
0	NUM	@card@
-	PUN	-
3	NUM	@card@
et	KON	et
par	PRP	par
vandewalle	NOM	vandewalle
0	NUM	@card@
-	PUN	-
3	NUM	@card@
hernandez	NOM	hernandez
(	PUN	(
emv	NOM	emv
,	PUN	,
à	PRP	à
25	NUM	@card@
)	PUN	)
battu	VER:pper	battre
par	PRP	par
chemin	NOM	chemin
0	NUM	@card@
-	PUN	-
3	NUM	@card@
par	PRP	par
vandewalle	NOM	vandewalle
0	NUM	@card@
-	PUN	-
3	NUM	@card@
bat	NOM	bat
selin	NOM	selin
3	NUM	@card@
-	PUN	-
1	NUM	@card@
doubles	NOM	double
:	PUN	:
merlin-parmentier	NOM	merlin-parmentier
battent	VER:pres	battre
merceron-hergault	NOM	merceron-hergault
3	NUM	@card@
-	PUN	-
1	NUM	@card@
genin-hernandez	NOM	genin-hernandez
battent	VER:pres	battre
selin-chemin	NOM	selin-chemin
3	NUM	@card@
-	PUN	-
1	NUM	@card@
