comme	KON	comme
on	PRO:PER	on
peut	VER:pres	pouvoir
le	DET:ART	le
lire	NOM	lire
en	PRP	en
page	NOM	page
«	PUN:cit	«
départementale	ADJ	départemental
54	NUM	@card@
»,	NOM	»,
gilles	NOM	gille
lodolo	ADJ	lodolo
,	PUN	,
actuel	ADJ	actuel
directeur	NOM	directeur
de	PRP	de
l'	DET:ART	le
unité	NOM	unité
philips	NOM	philips
de	PRP	de
pont-à-mousson	NOM	pont-à-mousson
,	PUN	,
serait	VER:cond	être
le	DET:ART	le
mystérieux	ADJ	mystérieux
repreneur	NOM	repreneur
de	PRP	de
l'	DET:ART	le
usine	NOM	usine
de	PRP	de
fabrication	NOM	fabrication
de	PRP	de
micro	NOM	micro
processeurs	NOM	processeur
asat	NOM	asat
sa	DET:POS	son
de	PRP	de
maxéville	NOM	maxéville
.	SENT	.
un	DET:ART	un
établissement	NOM	établissement
mis	VER:pper	mettre
en	PRP	en
liquidation	NOM	liquidation
judiciaire	ADJ	judiciaire
en	PRP	en
septembre	NOM	septembre
dernier	ADJ	dernier
qui	PRO:REL	qui
attend	VER:pres	attendre
depuis	PRP	depuis
cette	PRO:DEM	ce
date	NOM	date
un	DET:ART	un
ùindustriel	NOM	ùindustriel
lorrain	ADJ	lorrain
,	PUN	,
susceptible	ADJ	susceptible
de	PRP	de
redonner	VER:infi	redonner
vie	NOM	vie
à	PRP	à
l'	DET:ART	le
usine	NOM	usine
,	PUN	,
annoncé	VER:pper	annoncer
par	PRP	par
henri	ADJ	henri
begorre	NOM	begorre
,	PUN	,
maire	NOM	maire
de	PRP	de
maxéville	NOM	maxéville
.	SENT	.
