aucune	PRO:IND	aucun
des	PRP:det	du
46	NUM	@card@
personnes	NOM	personne
se	PRO:PER	se
trouvant	VER:ppre	trouver
à	PRP	à
bord	NOM	bord
de	PRP	de
l'	DET:ART	le
avion	NOM	avion
péruvien	ADJ	péruvien
disparu	VER:pper	disparaître
jeudi	NOM	jeudi
en	PRP	en
amazonie	NOM	amazonie
péruvienne	ADJ	péruvien
ne	ADV	ne
semble	VER:pres	sembler
avoir	VER:infi	avoir
survécu	VER:pper	survivre
à	PRP	à
l'	DET:ART	le
accident	NOM	accident
,	PUN	,
a	VER:pres	avoir
annoncé	VER:pper	annoncer
hier	ADV	hier
le	DET:ART	le
ministre	NOM	ministre
des	PRP:det	du
transports	NOM	transport
,	PUN	,
javier	ADJ	javier
reategui	NOM	reategui
.	SENT	.
«	PUN:cit	«
l'	DET:ART	le
avion	NOM	avion
s'	PRO:PER	se
est	VER:pres	être
écrasé	VER:pper	écraser
(...	VER:pper	(...
)	PUN	)
et	KON	et
il	PRO:PER	il
n'	ADV	ne
y	PRO:PER	y
a	VER:pres	avoir
apparemment	ADV	apparemment
pas	ADV	pas
de	PRP	de
signe	NOM	signe
de	PRP	de
vie	NOM	vie
»,	ADJ	»,
a	VER:pres	avoir
déclaré	VER:pper	déclarer
le	DET:ART	le
ministre	NOM	ministre
lors	ADV	lors
d'	PRP	de
une	DET:ART	un
conférence	NOM	conférence
de	PRP	de
presse	NOM	presse
.	SENT	.
il	PRO:PER	il
a	VER:pres	avoir
précisé	VER:pper	préciser
que	KON	que
les	DET:ART	le
corps	NOM	corps
des	PRP:det	du
victimes	NOM	victime
étaient	VER:impf	être
éparpillés	VER:pper	éparpiller
dans	PRP	dans
un	DET:ART	un
périmètre	NOM	périmètre
de	PRP	de
300	NUM	@card@
à	PRP	à
400	NUM	@card@
mètres	NOM	mètre
et	KON	et
que	KON	que
«	PUN:cit	«
les	DET:ART	le
chances	NOM	chance
de	PRP	de
survie	NOM	survie
sont	VER:pres	être
très	ADV	très
hypothétiques	ADJ	hypothétique
»	PUN:cit	»
l'	DET:ART	le
appareil	NOM	appareil
péruvien	ADJ	péruvien
a	VER:pres	avoir
été	VER:pper	être
repéré	VER:pper	repérer
hier	ADV	hier
par	PRP	par
des	PRP:det	du
hélicoptères	NOM	hélicoptère
et	KON	et
est	VER:pres	être
apparemment	ADV	apparemment
détruit	VER:pper	détruire
.	SENT	.
l'	DET:ART	le
avion	NOM	avion
,	PUN	,
un	DET:ART	un
fokker	NOM	fokker
f-28	ADJ	f-28
de	PRP	de
la	DET:ART	le
compagnie	NOM	compagnie
péruvienne	ADJ	péruvien
tans	NOM	tan
,	PUN	,
qui	PRO:REL	qui
avait	VER:impf	avoir
décollé	VER:pper	décoller
de	PRP	de
lima	VER:simp	limer
et	KON	et
avait	VER:impf	avoir
fait	VER:pper	faire
une	DET:ART	un
escale	NOM	escale
à	PRP	à
chiclayo	NOM	chiclayo
,	PUN	,
à	PRP	à
700	NUM	@card@
km	ABR	kilomètre
au	PRP:det	au
nord	NOM	nord
de	PRP	de
la	DET:ART	le
capitale	NOM	capitale
,	PUN	,
avait	VER:impf	avoir
été	VER:pper	être
porté	VER:pper	porter
disparu	VER:pper	disparaître
jeudi	NOM	jeudi
matin	NOM	matin
.	SENT	.
il	PRO:PER	il
se	PRO:PER	se
dirigeait	VER:impf	diriger
vers	PRP	vers
chachapoyas	NOM	chachapoyas
,	PUN	,
capitale	NOM	capitale
de	PRP	de
l'	DET:ART	le
etat	NOM	etat
péruvien	ADJ	péruvien
d'	PRP	de
amazonas	NOM	amazonas
située	VER:pper	situer
à	PRP	à
900	NUM	@card@
km	ABR	kilomètre
au	PRP:det	au
nord-est	NOM	nord-est
de	PRP	de
lima	VER:simp	limer
.	SENT	.
a	VER:pres	avoir
bord	NOM	bord
se	PRO:PER	se
trouvaient	VER:impf	trouver
42	NUM	@card@
passagers	NOM	passager
,	PUN	,
dont	PRO:REL	dont
cinq	NUM	cinq
étrangers	NOM	étranger
,	PUN	,
deux	NUM	deux
belges	NOM	belge
,	PUN	,
un	DET:ART	un
néerlandais	NOM	néerlandais
,	PUN	,
une	DET:ART	un
espagnole	ADJ	espagnol
et	KON	et
un	DET:ART	un
cubain	NOM	cubain
,	PUN	,
et	KON	et
quatre	NUM	quatre
membres	NOM	membre
d'	PRP	de
équipage	NOM	équipage
.	SENT	.
