Key = vague, Value = 1
Key = fiefs, Value = 1
Key = de, Value = 6
Key = suffrages, Value = 1
Key = d�put�s, Value = 1
Key = �t�, Value = 2
Key = fran�ois, Value = 1
Key = �v�nements, Value = 1
Key = arrondissement, Value = 1
Key = socialistes, Value = 1
Key = (4178, Value = 1
Key = dix-neuvi�me, Value = 1
Key = roger, Value = 1
Key = parti, Value = 1
Key = du, Value = 1
Key = mairie, Value = 1
Key = des, Value = 2
Key = son, Value = 1
Key = laurent, Value = 1
Key = un, Value = 1
Key = les, Value = 4
Key = fizsbin, Value = 1
Key = l�gislatives, Value = 1
Key = voix, Value = 1
Key = communiste, Value = 1
Key = l'emporte, Value = 1
Key = il, Value = 1
Key = %), Value = 2
Key = pr�sidentielles, Value = 1
Key = %, Value = 2
Key = parisienne, Value = 1
Key = en, Value = 5
Key = chirac, Value = 1
Key = manque, Value = 1
Key = et, Value = 1
Key = dirigeants, Value = 1
Key = 1983, Value = 1
Key = gauche, Value = 1
Key = 1981, Value = 1
Key = avec, Value = 2
Key = 1989, Value = 1
Key = 1988, Value = 1
Key = que, Value = 1
Key = si�ge, Value = 1
Key = 5682, Value = 1
Key = madec, Value = 1
Key = aux, Value = 3
Key = droite, Value = 1
Key = prend, Value = 1
Key = deux, Value = 1
Key = conserver, Value = 1
Key = (ps), Value = 1
Key = t�te, Value = 1
Key = (cni), Value = 1
Key = sur, Value = 1
Key = apr�s, Value = 1
Key = 1993, Value = 1
Key = arrive, Value = 1
Key = d�put�, Value = 1
Key = ouvrier, Value = 1
Key = contre, Value = 1
Key = jacques, Value = 3
Key = (4915, Value = 1
Key = socialiste, Value = 1
Key = a, Value = 1
Key = henri, Value = 1
Key = municipales, Value = 1
Key = r�cup�rent, Value = 1
Key = l'ancien, Value = 1
Key = c'est, Value = 1
Key = jean-christophe, Value = 1
Key = maire, Value = 1
Key = f�ron, Value = 2
Key = mars, Value = 1
Key = longtemps, Value = 1
Key = emporte, Value = 1
Key = pour, Value = 1
Key = mitterrand, Value = 1
Key = si�ges, Value = 1
Key = 460, Value = 1
Key = tous, Value = 1
Key = cambad�lis, Value = 1
Key = ont, Value = 1
Key = la, Value = 4
Key = le, Value = 2
Key = rose, Value = 1
Key = paul, Value = 1
Key = 1968, Value = 1
Key = 4317, Value = 1
Key = �, Value = 2
Key = ancien, Value = 1
