amiens	NOM	amiens
(	PUN	(
2	NUM	@card@
)	PUN	)
bat	VER:pres	battre
sochaux	NOM	sochaux
11	NUM	@card@
-	PUN	-
7	NUM	@card@
blessé	NOM	blessé
à	PRP	à
l'	DET:ART	le
échauffement	NOM	échauffement
,	PUN	,
l'	DET:ART	le
amiénois	NOM	amiénois
hermant	ADJ	hermant
ne	ADV	ne
pouvait	VER:impf	pouvoir
jouer	VER:infi	jouer
que	KON	que
le	DET:ART	le
rôle	NOM	rôle
de	PRP	de
figurant	VER:ppre	figurer
.	SENT	.
malgré	PRP	malgré
ce	PRO:DEM	ce
handicap	NOM	handicap
,	PUN	,
les	DET:ART	le
picards	NOM	picard
s'	PRO:PER	se
imposaient	VER:impf	imposer
grâce	NOM	grâce
aux	PRP:det	au
sans-fautes	NOM	sans-fautes
de	PRP	de
kock	NOM	kock
et	KON	et
sellier	NOM	sellier
.	SENT	.
les	DET:ART	le
résultats	NOM	résultat
:	PUN	:
lambert	NOM	lambert
(	PUN	(
sochaux	ADJ	sochaux
,	PUN	,
n	VER:simp	n
°	NOM	°
842	NUM	@card@
)	PUN	)
bat	NOM	bat
hermant	ADJ	hermant
(	PUN	(
25	NUM	@card@
)	PUN	)
par	PRP	par
forfait	NOM	forfait
,	PUN	,
battu	VER:pper	battre
par	PRP	par
sellier	NOM	sellier
(	PUN	(
n	VER:simp	n
°	NOM	°
184	NUM	@card@
)	PUN	)
0	NUM	@card@
-	PUN	-
3	NUM	@card@
et	KON	et
par	PRP	par
kock	NOM	kock
(	PUN	(
à	PRP	à
25	NUM	@card@
)	PUN	)
0	NUM	@card@
-	PUN	-
3	NUM	@card@
desquiens	NOM	desquiens
(	PUN	(
sochaux	ADJ	sochaux
,	PUN	,
à	PRP	à
25	NUM	@card@
)	PUN	)
bat	NOM	bat
hermant	ADJ	hermant
par	PRP	par
forfait	NOM	forfait
,	PUN	,
battu	VER:pper	battre
par	PRP	par
sellier	NOM	sellier
1	NUM	@card@
-	PUN	-
3	NUM	@card@
et	KON	et
par	PRP	par
kock	NOM	kock
2	NUM	@card@
-	PUN	-
3.	DET:ART	@ord@
j	ADJ	j
acquot	NOM	acquot
(	PUN	(
sochaux	ADJ	sochaux
,	PUN	,
à	PRP	à
30	NUM	@card@
)	PUN	)
battu	VER:pper	battre
par	PRP	par
sellier	NOM	sellier
0	NUM	@card@
-	PUN	-
3	NUM	@card@
et	KON	et
par	PRP	par
kock	NOM	kock
0	NUM	@card@
-	PUN	-
3	NUM	@card@
courty	NOM	courty
(	PUN	(
sochaux	ADJ	sochaux
,	PUN	,
à	PRP	à
25	NUM	@card@
)	PUN	)
bat	VER:pres	battre
steinberg	NOM	steinberg
(	PUN	(
à	PRP	à
25	NUM	@card@
)	PUN	)
3	NUM	@card@
-	PUN	-
0	NUM	@card@
battu	VER:pper	battre
par	PRP	par
dufrenne	NOM	dufrenne
(	PUN	(
à	PRP	à
25	NUM	@card@
)	PUN	)
1	NUM	@card@
-	PUN	-
3	NUM	@card@
et	KON	et
par	PRP	par
randriamanantsoa	NOM	randriamanantsoa
(	PUN	(
à	PRP	à
25	NUM	@card@
)	PUN	)
0	NUM	@card@
-	PUN	-
3	NUM	@card@
mougin	NOM	mougin
(	PUN	(
sochaux	ADJ	sochaux
,	PUN	,
à	PRP	à
35	NUM	@card@
)	PUN	)
bat	VER:pres	battre
randriamanantsoa	NOM	randriamanantsoa
3	NUM	@card@
-	PUN	-
1	NUM	@card@
battu	VER:pper	battre
par	PRP	par
steinberg	NOM	steinberg
2	NUM	@card@
-	PUN	-
3	NUM	@card@
bat	NOM	bat
dufrenne	NOM	dufrenne
3	NUM	@card@
-	PUN	-
2	NUM	@card@
cheney	NOM	cheney
(	PUN	(
sochaux	ADJ	sochaux
,	PUN	,
à	PRP	à
30	NUM	@card@
)	PUN	)
bat	VER:pres	battre
randriamanantsoa	NOM	randriamanantsoa
3	NUM	@card@
-	PUN	-
2	NUM	@card@
battu	VER:pper	battre
par	PRP	par
dufrenne	NOM	dufrenne
1	NUM	@card@
-	PUN	-
3	NUM	@card@
