marchant	VER:ppre	marcher
sur	PRP	sur
les	DET:ART	le
traces	NOM	trace
de	PRP	de
son	DET:POS	son
prédécesseur	NOM	prédécesseur
,	PUN	,
frédéric	NOM	frédéric
françois	ADJ	françois
,	PUN	,
technicien	ADJ	technicien
aux	PRP:det	au
automobiles	ADJ	automobile
peugeot	NOM	peugeot
,	PUN	,
est	VER:pres	être
venu	VER:pper	venir
habiter	VER:infi	habiter
à	PRP	à
grammont	VER:futu	grammont
où	PRO:REL	où
il	PRO:PER	il
réside	VER:pres	résider
depuis	PRP	depuis
trois	NUM	trois
ans	NOM	an
avec	PRP	avec
son	DET:POS	son
épouse	NOM	épouse
dans	PRP	dans
une	DET:ART	un
maison	NOM	maison
qu'	PRO:REL	que
il	PRO:PER	il
rénove	VER:pres	rénover
.	SENT	.
affable	ADJ	affable
et	KON	et
sympathique	ADJ	sympathique
son	DET:POS	son
intégration	NOM	intégration
a	VER:pres	avoir
été	VER:pper	être
rapide	ADJ	rapide
.	SENT	.
très	ADV	très
vite	ADV	vite
,	PUN	,
il	PRO:PER	il
s'	PRO:PER	se
investit	VER:pres	investir
dans	PRP	dans
l'	DET:ART	le
organisation	NOM	organisation
puis	ADV	puis
dans	PRP	dans
le	DET:ART	le
comité	NOM	comité
de	PRP	de
la	DET:ART	le
foire	NOM	foire
auprès	ADV	auprès
de	PRP	de
son	DET:POS	son
prédécesseur	NOM	prédécesseur
.	SENT	.
frédéric	NOM	frédéric
apprécie	VER:pres	apprécier
et	KON	et
remercie	VER:pres	remercier
tous	PRO:IND	tout
les	DET:ART	le
acteurs	NOM	acteur
de	PRP	de
cette	PRO:DEM	ce
institution	NOM	institution
pour	PRP	pour
la	DET:ART	le
confiance	NOM	confiance
qu'	PRO:REL	que
ils	PRO:PER	il
lui	PRO:PER	lui
témoignent	VER:pres	témoigner
.	SENT	.
il	PRO:PER	il
promet	VER:pres	promettre
de	PRP	de
développer	VER:infi	développer
et	KON	et
assurer	VER:infi	assurer
la	DET:ART	le
pérennité	NOM	pérennité
de	PRP	de
la	DET:ART	le
foire	NOM	foire
avec	PRP	avec
la	DET:ART	le
volonté	NOM	volonté
de	PRP	de
conserver	VER:infi	conserver
son	DET:POS	son
caractère	NOM	caractère
agricole	ADJ	agricole
.	SENT	.
«	PUN:cit	«
j'	PRO:PER	je
ai	VER:pres	avoir
la	DET:ART	le
volonté	NOM	volonté
de	PRP	de
réussir	VER:infi	réussir
avec	PRP	avec
toute	PRO:IND	tout
mon	DET:POS	mon
équipe	NOM	équipe
d'	PRP	de
autant	ADV	autant
que	KON	que
je	PRO:PER	je
peux	VER:pres	pouvoir
compter	VER:infi	compter
sur	PRP	sur
l'	DET:ART	le
expérience	NOM	expérience
des	PRP:det	du
anciens	NOM	ancien
et	KON	et
de	PRP	de
claude	NOM	claude
,	PUN	,
mon	DET:POS	mon
dynamique	NOM	dynamique
et	KON	et
compétent	ADJ	compétent
prédécesseur	NOM	prédécesseur
qui	PRO:REL	qui
sont	VER:pres	être
toujours	ADV	toujours
très	ADV	très
impliqués	VER:pper	impliquer
,	PUN	,
des	PRP:det	du
atouts	NOM	atout
maîtres	NOM	maître
pour	PRP	pour
remporter	VER:infi	remporter
ce	PRO:DEM	ce
premier	NOM	premier
challenge	VER:pres	challenger
».	VER:pper	».
ce	PRO:DEM	ce
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
sans	PRP	sans
une	DET:ART	un
certaine	ADJ	certain
émotion	NOM	émotion
que	KON	que
claude	NOM	claude
bourgeat	ADJ	bourgeat
abandonne	VER:pres	abandonner
sa	DET:POS	son
pôle	NOM	pôle
position	NOM	position
mais	KON	mais
«	PUN:cit	«
je	PRO:PER	je
suis	VER:pres	suivre|être
très	ADV	très
heureux	ADJ	heureux
de	PRP	de
pouvoir	NOM	pouvoir
le	PRO:PER	le
faire	VER:infi	faire
dans	PRP	dans
ces	PRO:DEM	ce
bonnes	ADJ	bon
conditions	NOM	condition
.	SENT	.
je	PRO:PER	je
fais	VER:pres	faire
confiance	NOM	confiance
à	PRP	à
frédéric	NOM	frédéric
et	KON	et
à	PRP	à
sa	DET:POS	son
nouvelle	ADJ	nouveau
équipe	NOM	équipe
dans	PRP	dans
laquelle	PRO:REL	lequel
je	PRO:PER	je
suis	VER:pres	suivre|être
».	VER:pper	».
nous	PRO:PER	nous
souhaitons	VER:pres	souhaiter
bon	ADJ	bon
vent	NOM	vent
au	PRP:det	au
nouveau	ADJ	nouveau
président	NOM	président
pour	KON	pour
que	KON	que
ce	PRO:DEM	ce
rendez-vous	NOM	rendez-vous
du	PRP:det	du
22	NUM	@card@
février	NOM	février
2003	NUM	@card@
soit	KON	soit
un	DET:ART	un
immense	ADJ	immense
succès	NOM	succès
et	KON	et
toujours	ADV	toujours
un	DET:ART	un
bel	ADJ	beau
exemple	NOM	exemple
de	PRP	de
réussite	NOM	réussite
rurale	ADJ	rural
.	SENT	.
