un	DET:ART	un
sympathique	ADJ	sympathique
goûter	NOM	goûter
,	PUN	,
offert	VER:pper	offrir
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
,	PUN	,
a	VER:pres	avoir
précédé	VER:pper	précéder
la	DET:ART	le
remise	NOM	remise
des	PRP:det	du
récompenses	NOM	récompense
chez	PRP	chez
les	DET:ART	le
jeunes	ADJ	jeune
judokas	NOM	judoka
.	SENT	.
notons	VER:pres	noter
le	DET:ART	le
succès	NOM	succès
du	PRP:det	du
«	PUN:cit	«
judo-club	NOM	judo-club
ronchamp	NOM	ronchamp
»	PUN:cit	»
à	PRP	à
la	DET:ART	le
mi-saison	NOM	mi-saison
,	PUN	,
avec	PRP	avec
des	PRP:det	du
résultats	NOM	résultat
en	PRP	en
district	NOM	district
départemental	ADJ	départemental
et	KON	et
des	PRP:det	du
qualifications	NOM	qualification
pour	PRP	pour
la	DET:ART	le
région	NOM	région
.	SENT	.
au	PRP:det	au
niveau	NOM	niveau
district	NOM	district
:	PUN	:
catégories	NOM	catégorie
mini-poussins	NOM	mini-poussins
(	PUN	(
1995	NUM	@card@
/	PUN	/
1996	NUM	@card@
)	PUN	)
:	PUN	:
olivia	NOM	olivia
,	PUN	,
sarah	NOM	sarah
,	PUN	,
laura	VER:simp	laurer
mainenti	VER:pper	mainenti
,	PUN	,
flavie	NOM	flavie
renaude	VER:pres	renauder
.	SENT	.
catégories	NOM	catégorie
poussins	NOM	poussin
(	PUN	(
1993	NUM	@card@
/	PUN	/
1994	NUM	@card@
)	PUN	)
:	PUN	:
chez	PRP	chez
les	DET:ART	le
filles	NOM	fille
:	PUN	:
audrey	NOM	audrey
bertrand	NOM	bertrand
,	PUN	,
hélène	NOM	hélène
jeanmougin	NOM	jeanmougin
,	PUN	,
lina	VER:simp	lina
flukiger	VER:infi	flukiger
,	PUN	,
chloé	NOM	chloé
maillot	NOM	maillot
.	SENT	.
chez	PRP	chez
les	DET:ART	le
garçons	NOM	garçon
:	PUN	:
rodolphe	ADJ	rodolphe
jeanblanc	NOM	jeanblanc
,	PUN	,
stéphane	ADJ	stéphane
lamboley	NOM	lamboley
,	PUN	,
jordy	NOM	jordy
guillemain	NOM	guillemain
,	PUN	,
romain	ADJ	romain
idelon	NOM	idelon
,	PUN	,
xavier	NOM	xavier
fux	ADJ	fux
,	PUN	,
tony	NOM	tony
piguet	ADJ	piguet
,	PUN	,
aurélien	ADJ	aurélien
grosjean	NOM	grosjean
,	PUN	,
adrien	ADJ	adrien
boinot	NOM	boinot
,	PUN	,
sébastien	NOM	sébastien
jumel	ADJ	jumel
,	PUN	,
louis	NOM	louis
gaudilière	ADJ	gaudilière
,	PUN	,
arthur	ADJ	arthur
schuller	NOM	schuller
,	PUN	,
sébastien	ADJ	sébastien
lamboley	NOM	lamboley
,	PUN	,
valentin	NOM	valentin
cunat	NOM	cunat
,	PUN	,
johnny	NOM	johnny
espirat	NOM	espirat
,	PUN	,
pierre	NOM	pierre
deloye	NOM	deloye
,	PUN	,
imad	NOM	imad
srhir	ADJ	srhir
,	PUN	,
théo	NOM	théo
pitout	ADJ	pitout
,	PUN	,
romain	ADJ	romain
vejux	NOM	vejux
,	PUN	,
kevin	ADJ	kevin
azrarad	NOM	azrarad
,	PUN	,
marius	NOM	marius
authier	NOM	authier
,	PUN	,
corintin	ADJ	corintin
poinsot	NOM	poinsot
,	PUN	,
yohann	NOM	yohann
guyon	NOM	guyon
,	PUN	,
quentin	NOM	quentin
natali	ADJ	natali
.	SENT	.
catégories	NOM	catégorie
benjamin	NOM	benjamin
(	PUN	(
1991	NUM	@card@
/	PUN	/
1992	NUM	@card@
)	PUN	)
:	PUN	:
chez	PRP	chez
les	DET:ART	le
garçons	NOM	garçon
:	PUN	:
-	PUN	-
de	PRP	de
30	NUM	@card@
kg	ABR	kg
:	PUN	:
antoine	NOM	antoine
gaudilière	ADJ	gaudilière
,	PUN	,
maxime	NOM	maxime
cherrier	ADJ	cherrier
;	PUN	;
-	PUN	-
de	PRP	de
34	NUM	@card@
kg	ABR	kg
:	PUN	:
florian	ADJ	florian
maire	NOM	maire
,	PUN	,
jordan	ADJ	jordan
bohème	NOM	bohème
;	PUN	;
-	PUN	-
de	PRP	de
42	NUM	@card@
kg	ABR	kg
:	PUN	:
paul	ADJ	paul
authier	NOM	authier
,	PUN	,
maxime	NOM	maxime
vejux	ADJ	vejux
,	PUN	,
anthony	NOM	anthony
espirat	NOM	espirat
;	PUN	;
-	PUN	-
de	PRP	de
55	NUM	@card@
kg	ABR	kg
:	PUN	:
kevin	ADJ	kevin
dechelotte	NOM	dechelotte
.	SENT	.
chez	PRP	chez
les	DET:ART	le
filles	NOM	fille
:	PUN	:
-	PUN	-
de	PRP	de
36	NUM	@card@
kg	ABR	kg
:	PUN	:
lucie	NOM	lucie
garcia	NOM	garcia
;	PUN	;
-	PUN	-
de	PRP	de
40	NUM	@card@
kg	ABR	kg
:	PUN	:
marine	ADJ	marin
sebaut	NOM	sebaut
,	PUN	,
julie	NOM	julie
rasori	NOM	rasori
;	PUN	;
-	PUN	-
de	PRP	de
44	NUM	@card@
kg	ABR	kg
:	PUN	:
julie	NOM	julie
mainenti	VER:pper	mainenti
;	PUN	;
-	PUN	-
de	PRP	de
52	NUM	@card@
kg	ABR	kg
:	PUN	:
adeline	ADJ	adeline
cunat	NOM	cunat
,	PUN	,
prudence	NOM	prudence
renaude	VER:pres	renauder
.	SENT	.
catégorie	NOM	catégorie
minime	ADJ	minime
(	PUN	(
1989	NUM	@card@
/	PUN	/
1990	NUM	@card@
)	PUN	)
:	PUN	:
chez	PRP	chez
les	DET:ART	le
filles	NOM	fille
:	PUN	:
-	PUN	-
de	PRP	de
42	NUM	@card@
kg	ABR	kg
:	PUN	:
aurélie	NOM	aurélie
schärr	ADJ	schärr
;	PUN	;
-	PUN	-
de	PRP	de
70	NUM	@card@
kg	ABR	kg
:	PUN	:
salomé	NOM	salomé
maillot	NOM	maillot
.	SENT	.
catégorie	NOM	catégorie
cadet	ADJ	cadet
(	PUN	(
1987	NUM	@card@
/	PUN	/
1988	NUM	@card@
)	PUN	)
:	PUN	:
chez	PRP	chez
les	DET:ART	le
garçons	NOM	garçon
:	PUN	:
-	PUN	-
de	PRP	de
46	NUM	@card@
kg	ABR	kg
:	PUN	:
romain	ADJ	romain
allizard	NOM	allizard
.	SENT	.
catégorie	NOM	catégorie
junior	ADJ	junior
(	PUN	(
1984	NUM	@card@
/	PUN	/
1986	NUM	@card@
)	PUN	)
:	PUN	:
chez	PRP	chez
les	DET:ART	le
garçons	NOM	garçon
:	PUN	:
-	PUN	-
de	PRP	de
66	NUM	@card@
kg	ABR	kg
:	PUN	:
antoine	NOM	antoine
grisez	VER:pres	griser
.	SENT	.
les	PRO:PER	la|le
qualifiés	VER:pper	qualifier
pour	PRP	pour
le	DET:ART	le
championnat	NOM	championnat
régional	ADJ	régional
«	PUN:cit	«
benjamin	NOM	benjamin
»,	ADJ	»,
le	DET:ART	le
9	NUM	@card@
mars	NOM	mars
2003	NUM	@card@
à	PRP	à
besançon	NOM	besançon
sont	VER:pres	être
:	PUN	:
chez	PRP	chez
les	DET:ART	le
garçons	NOM	garçon
,	PUN	,
antoine	NOM	antoine
gaudilère	ADJ	gaudilère
,	PUN	,
paul	ADJ	paul
authier	NOM	authier
,	PUN	,
kévin	NOM	kévin
dechelotte	NOM	dechelotte
;	PUN	;
chez	PRP	chez
les	DET:ART	le
filles	NOM	fille
,	PUN	,
lucie	NOM	lucie
garcia	NOM	garcia
,	PUN	,
julie	NOM	julie
minenti	ADJ	minenti
,	PUN	,
prudence	NOM	prudence
renaude	VER:pres	renauder
,	PUN	,
adeline	ADJ	adeline
cunat	NOM	cunat
.	SENT	.
aurélie	NOM	aurélie
schärr	NOM	schärr
et	KON	et
salomé	NOM	salomé
maillot	NOM	maillot
sont	VER:pres	être
qualifiées	VER:pper	qualifier
pour	PRP	pour
le	DET:ART	le
championnat	NOM	championnat
régional	ADJ	régional
minime	ADJ	minime
,	PUN	,
qui	PRO:REL	qui
aura	VER:futu	avoir
lieu	NOM	lieu
le	DET:ART	le
12	NUM	@card@
janvier	NOM	janvier
à	PRP	à
besançon	NOM	besançon
.	SENT	.
