pas	ADV	pas
de	PRP	de
pudding	NOM	pudding
mais	KON	mais
de	PRP	de
la	DET:ART	le
galette	NOM	galette
pour	PRP	pour
le	DET:ART	le
premier	NUM	premier
thé	NOM	thé
dansant	VER:ppre	danser
de	PRP	de
la	DET:ART	le
nouvelle	ADJ	nouveau
année	NOM	année
organisé	VER:pper	organiser
par	PRP	par
le	DET:ART	le
président	NOM	président
andré	ADJ	andré
leroy	NOM	leroy
et	KON	et
son	DET:POS	son
équipe	NOM	équipe
du	PRP:det	du
comité	NOM	comité
des	PRP:det	du
fêtes	NOM	fête
,	PUN	,
dimanche	NOM	dimanche
,	PUN	,
salle	NOM	salle
polyvalente	ADJ	polyvalent
,	PUN	,
à	PRP	à
partir	VER:infi	partir
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
c'	PRO:DEM	ce
est	VER:pres	être
l'	DET:ART	le
orchestre	NOM	orchestre
«	PUN:cit	«
iceberg	NOM	iceberg
»	PUN:cit	»
qui	PRO:REL	qui
sera	VER:futu	être
chargé	VER:pper	charger
de	PRP	de
l'	DET:ART	le
animation	NOM	animation
de	PRP	de
cette	PRO:DEM	ce
matinée	NOM	matinée
dansante	ADJ	dansant
au	PRP:det	au
cours	NOM	cour|cours
de	PRP	de
laquelle	PRO:REL	lequel
les	DET:ART	le
organisateurs	NOM	organisateur
inviteront	VER:futu	inviter
les	DET:ART	le
participants	NOM	participant
à	PRP	à
déguster	VER:infi	déguster
la	DET:ART	le
galette	NOM	galette
des	PRP:det	du
rois	NOM	roi
,	PUN	,
thème	NOM	thème
de	PRP	de
la	DET:ART	le
journée	NOM	journée
.	SENT	.
réservation	NOM	réservation
au	PRP:det	au
03.29	NUM	@card@
.	SENT	.
67.90	NUM	@card@
.	SENT	.
86	NUM	@card@
