lors	ADV	lors
de	PRP	de
sa	DET:POS	son
dernière	ADJ	dernier
réunion	NOM	réunion
,	PUN	,
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
a	VER:pres	avoir
donné	VER:pper	donner
un	DET:ART	un
avis	NOM	avis
favorable	ADJ	favorable
à	PRP	à
la	DET:ART	le
demande	NOM	demande
d'	PRP	de
un	DET:ART	un
permis	NOM	permis
de	PRP	de
construire	VER:infi	construire
émanant	VER:ppre	émaner
de	PRP	de
jean	NOM	jean
graizely	NOM	graizely
de	PRP	de
sancey-le-grand	NOM	sancey-le-grand
.	SENT	.
il	PRO:PER	il
s'	PRO:PER	se
agit	VER:pres	agir
de	PRP	de
la	DET:ART	le
construction	NOM	construction
et	KON	et
de	PRP	de
l'	DET:ART	le
extension	NOM	extension
d'	PRP	de
un	DET:ART	un
bâtiment	NOM	bâtiment
destiné	VER:pper	destiner
à	PRP	à
l'	DET:ART	le
implantation	NOM	implantation
d'	PRP	de
un	DET:ART	un
commerce	NOM	commerce
comportant	VER:ppre	comporter
des	PRP:det	du
surfaces	NOM	surface
de	PRP	de
vente	NOM	vente
.	SENT	.
travaux	NOM	travail
du	PRP:det	du
réseau	NOM	réseau
d'	PRP	de
eau	NOM	eau
:	PUN	:
l'	DET:ART	le
entreprise	NOM	entreprise
personeni	VER:pper	personeni
de	PRP	de
frambouhans	NOM	frambouhans
est	VER:pres	être
retenue	VER:pper	retenir
pour	PRP	pour
effectuer	VER:infi	effectuer
les	DET:ART	le
travaux	NOM	travail
nécessaires	ADJ	nécessaire
à	PRP	à
l'	DET:ART	le
amélioration	NOM	amélioration
du	PRP:det	du
réseau	NOM	réseau
d'	PRP	de
eau	NOM	eau
et	KON	et
de	PRP	de
la	DET:ART	le
défense	NOM	défense
incendie	VER:pres	incendier
du	PRP:det	du
secteur	NOM	secteur
de	PRP	de
sancey-l'eglise	NOM	sancey-l'eglise
.	SENT	.
le	DET:ART	le
coût	NOM	coût
total	ADJ	total
de	PRP	de
ces	PRO:DEM	ce
travaux	NOM	travail
d'	PRP	de
investissement	NOM	investissement
se	PRO:PER	se
monte	VER:pres	monter
à	PRP	à
49.083	NUM	@card@
,	PUN	,
90	NUM	@card@
	NOM	
ht	ADJ	ht
.	SENT	.
il	PRO:PER	il
est	VER:pres	être
prévu	VER:pper	prévoir
une	DET:ART	un
augmentation	NOM	augmentation
du	PRP:det	du
prix	NOM	prix
de	PRP	de
l'	DET:ART	le
eau	NOM	eau
,	PUN	,
la	DET:ART	le
surtaxe	NOM	surtaxe
communale	ADJ	communal
devant	PRP	devant
être	VER:infi	être
majorée	VER:pper	majorer
de	PRP	de
3	NUM	@card@
%.	ABR	%.
toiture	NOM	toiture
salle	NOM	salle
de	PRP	de
judo	NOM	judo
:	PUN	:
suite	NOM	suite
aux	PRP:det	au
différentes	ADJ	différent
propositions	NOM	proposition
faites	VER:pres	faire
pour	PRP	pour
rénover	VER:infi	rénover
une	DET:ART	un
partie	NOM	partie
de	PRP	de
la	DET:ART	le
toiture	NOM	toiture
du	PRP:det	du
bâtiment	NOM	bâtiment
abritant	VER:ppre	abriter
la	DET:ART	le
salle	NOM	salle
de	PRP	de
judo	NOM	judo
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
l'	DET:ART	le
entreprise	NOM	entreprise
alain	NOM	alain
descieux	ADJ	descieux
de	PRP	de
sancey-le-grand	NOM	sancey-le-grand
qui	PRO:REL	qui
est	VER:pres	être
retenue	VER:pper	retenir
:	PUN	:
coût	NOM	coût
total	ADJ	total
5.747	NUM	@card@
,	PUN	,
09	NUM	@card@
.	ABR	.
réfection	NOM	réfection
du	PRP:det	du
carrefour	NOM	carrefour
route	NOM	route
de	PRP	de
montot	NOM	montot
:	PUN	:
ce	PRO:DEM	ce
carrefour	NOM	carrefour
de	PRP	de
routes	NOM	route
sera	VER:futu	être
refait	VER:pper	refaire
pour	PRP	pour
un	DET:ART	un
coût	NOM	coût
total	ADJ	total
de	PRP	de
21.390	NUM	@card@
	NOM	
hors	PRP	hors
taxes	NOM	taxe
,	PUN	,
la	DET:ART	le
préfecture	NOM	préfecture
accorde	VER:pres	accorder
une	DET:ART	un
subvention	NOM	subvention
de	PRP	de
5.348	NUM	@card@
	NOM	
sur	PRP	sur
les	DET:ART	le
fonds	NOM	fond|fonds
de	PRP	de
la	DET:ART	le
dotation	NOM	dotation
générale	ADJ	général
d'	PRP	de
équipement	NOM	équipement
pour	PRP	pour
la	DET:ART	le
réalisation	NOM	réalisation
de	PRP	de
ces	PRO:DEM	ce
travaux	NOM	travail
.	SENT	.
vente	NOM	vente
de	PRP	de
bois	NOM	bois
:	PUN	:
il	PRO:PER	il
est	VER:pres	être
envisagé	VER:pper	envisager
de	PRP	de
procéder	VER:infi	procéder
à	PRP	à
la	DET:ART	le
vente	NOM	vente
de	PRP	de
feuillus	ADJ	feuillu
,	PUN	,
il	PRO:PER	il
s'	PRO:PER	se
agit	VER:pres	agir
des	PRP:det	du
parcelles	NOM	parcelle
24	NUM	@card@
et	KON	et
25	NUM	@card@
les	DET:ART	le
arbres	NOM	arbre
étant	VER:ppre	être
vendus	VER:pper	vendre
en	PRP	en
bloc	NOM	bloc
sur	PRP	sur
pied	NOM	pied
.	SENT	.
la	DET:ART	le
vente	NOM	vente
de	PRP	de
futaie	NOM	futaie
affouagère	ADJ	affouager
concerne	VER:pres	concerner
la	DET:ART	le
parcelle	NOM	parcelle
36	NUM	@card@
la	DET:ART	le
vente	NOM	vente
de	PRP	de
coupes	NOM	coupe
résineuses	ADJ	résineux
se	PRO:PER	se
fera	VER:futu	faire
dans	PRP	dans
les	DET:ART	le
parcelles	NOM	parcelle
7	NUM	@card@
et	KON	et
37	NUM	@card@
il	PRO:PER	il
s'	PRO:PER	se
agit	VER:pres	agir
de	PRP	de
coupes	NOM	coupe
sanitaires	ADJ	sanitaire
.	SENT	.
