quelque	PRO:IND	quelque
500	NUM	@card@
civils	NOM	civil
ont	VER:pres	avoir
trouvé	VER:pper	trouver
la	DET:ART	le
mort	NOM	mort
,	PUN	,
ces	PRO:DEM	ce
deux	NUM	deux
dernières	ADJ	dernier
semaines	NOM	semaine
,	PUN	,
lors	ADV	lors
des	PRP:det	du
bombardements	NOM	bombardement
russes	ADJ	russe
sur	PRP	sur
le	DET:ART	le
village	NOM	village
de	PRP	de
samachki	NOM	samachki
,	PUN	,
à	PRP	à
une	DET:ART	un
trentaine	NOM	trentaine
de	PRP	de
kilomètres	NOM	kilomètre
à	PRP	à
l'	DET:ART	le
ouest	NOM	ouest
de	PRP	de
grozny	NOM	grozny
,	PUN	,
selon	PRP	selon
la	DET:ART	le
radio	ADJ	radio
russe	ADJ	russe
echo	NOM	echo
de	PRP	de
moscou	NOM	moscou
.	SENT	.
l'	DET:ART	le
armée	NOM	armée
russe	ADJ	russe
avait	VER:impf	avoir
déjà	ADV	déjà
pris	VER:pper	prendre
le	DET:ART	le
village	NOM	village
en	PRP	en
avril	NOM	avril
1995	NUM	@card@
après	KON	après
de	PRP	de
violents	ADJ	violent
combats	NOM	combat
qui	PRO:REL	qui
avaient	VER:impf	avoir
coûté	VER:pper	coûter
la	DET:ART	le
vie	NOM	vie
à	PRP	à
250	NUM	@card@
civils	NOM	civil
.	SENT	.
