perdue	VER:pper	perdre
dans	PRP	dans
la	DET:ART	le
région	NOM	région
de	PRP	de
myon	NOM	myon
,	PUN	,
depuis	PRP	depuis
jeudi	NOM	jeudi
9	NUM	@card@
janvier	NOM	janvier
,	PUN	,
une	DET:ART	un
chienne	NOM	chien|chienne
noir	ADJ	noir
et	KON	et
feu	ADJ	feu
de	PRP	de
type	NOM	type
bruno	NOM	bruno
saint-hubert	NOM	saint-hubert
.	SENT	.
très	ADV	très
docile	ADJ	docile
,	PUN	,
elle	PRO:PER	elle
répond	VER:pres	répondre
au	PRP:det	au
nom	NOM	nom
de	PRP	de
perdi	NOM	perdi
.	SENT	.
contacter	VER:infi	contacter
le	DET:ART	le
03.84	NUM	@card@
.	SENT	.
73.11	NUM	@card@
.	SENT	.
57	NUM	@card@
