près	ADV	près
de	PRP	de
80	NUM	@card@
personnes	NOM	personne
avaient	VER:impf	avoir
répondu	VER:pper	répondre
à	PRP	à
l'	DET:ART	le
invitation	NOM	invitation
de	PRP	de
la	DET:ART	le
municipalité	NOM	municipalité
pour	PRP	pour
cette	PRO:DEM	ce
traditionnelle	ADJ	traditionnel
réunion	NOM	réunion
de	PRP	de
début	NOM	début
d'	PRP	de
année	NOM	année
.	SENT	.
on	PRO:PER	on
notait	VER:impf	noter
les	DET:ART	le
présences	NOM	présence
de	PRP	de
maryvonne	NOM	maryvonne
briot	NOM	briot
,	PUN	,
député	VER:pper	députer
de	PRP	de
la	DET:ART	le
circonscription	NOM	circonscription
,	PUN	,
de	PRP	de
jean-michel	NOM	jean-michel
villaumé	ADJ	villaumé
,	PUN	,
conseiller	VER:infi	conseiller
général	ADJ	général
,	PUN	,
de	PRP	de
michel	ADJ	michel
jaccottey	NOM	jaccottey
,	PUN	,
de	PRP	de
la	DET:ART	le
subdivision	NOM	subdivision
d'	PRP	de
héricourt	NOM	héricourt
de	PRP	de
la	DET:ART	le
dde	NOM	dde
.	SENT	.
le	DET:ART	le
maire	NOM	maire
,	PUN	,
jean-claude	NOM	jean-claude
kubler	NOM	kubler
,	PUN	,
retraça	VER:simp	retracer
le	DET:ART	le
bilan	NOM	bilan
de	PRP	de
l'	DET:ART	le
année	NOM	année
écoulée	VER:pper	écouler
et	KON	et
en	PRP	en
particulier	ADJ	particulier
les	DET:ART	le
travaux	NOM	travail
:	PUN	:
cimetière	NOM	cimetière
,	PUN	,
école	NOM	école
,	PUN	,
logements	NOM	logement
dans	PRP	dans
la	DET:ART	le
mairie	NOM	mairie
,	PUN	,
salle	NOM	salle
des	PRP:det	du
associations	NOM	association
,	PUN	,
rénovation	NOM	rénovation
de	PRP	de
la	DET:ART	le
salle	NOM	salle
polyvalente	ADJ	polyvalent
,	PUN	,
éclairage	NOM	éclairage
du	PRP:det	du
stade	NOM	stade
,	PUN	,
station	NOM	station
d'	PRP	de
épuration	NOM	épuration
,	PUN	,
route	NOM	route
forestière	ADJ	forestier
...	PUN	...
avant	PRP	avant
de	PRP	de
poursuivre	VER:infi	poursuivre
en	PRP	en
citant	VER:ppre	citer
les	DET:ART	le
projets	NOM	projet
2003	NUM	@card@
avec	PRP	avec
l'	DET:ART	le
assainissement	NOM	assainissement
de	PRP	de
la	DET:ART	le
rue	NOM	rue
frézard	ADJ	frézard
,	PUN	,
l'	DET:ART	le
aménagement	NOM	aménagement
de	PRP	de
la	DET:ART	le
rue	NOM	rue
de	PRP	de
la	DET:ART	le
benade	NOM	benade
,	PUN	,
la	DET:ART	le
mise	NOM	mise
en	PRP	en
place	NOM	place
d'	PRP	de
un	DET:ART	un
columbarium	NOM	columbarium
et	KON	et
d'	PRP	de
un	DET:ART	un
jardin	NOM	jardin
du	PRP:det	du
souvenir	NOM	souvenir
au	PRP:det	au
cimetière	NOM	cimetière
,	PUN	,
la	DET:ART	le
réinstallation	NOM	réinstallation
du	PRP:det	du
métier	NOM	métier
à	PRP	à
ferrer	VER:infi	ferrer
vendu	VER:pper	vendre
par	PRP	par
un	DET:ART	un
maire	NOM	maire
précédent	ADJ	précédent
et	KON	et
récupéré	VER:pper	récupérer
grâce	NOM	grâce
à	PRP	à
la	DET:ART	le
compréhension	NOM	compréhension
de	PRP	de
l'	DET:ART	le
acheteur	NOM	acheteur
:	PUN	:
«	PUN:cit	«
nous	PRO:PER	nous
essayons	VER:pres	essayer|essayer
de	PRP	de
tourner	VER:infi	tourner
notre	DET:POS	notre
village	NOM	village
vers	PRP	vers
la	DET:ART	le
modernité	NOM	modernité
par	PRP	par
son	DET:POS	son
aménagement	NOM	aménagement
sans	PRP	sans
oublier	VER:infi	oublier
pour	PRP	pour
autant	ADV	autant
nos	DET:POS	notre
origines	NOM	origine
,	PUN	,
notre	DET:POS	notre
ruralité	NOM	ruralité
en	PRP	en
préservant	VER:ppre	préserver
notre	DET:POS	notre
patrimoine	NOM	patrimoine
».	VER:futu	».
jean-michel	NOM	jean-michel
villaumé	ADJ	villaumé
a	VER:pres	avoir
assuré	VER:pper	assurer
«	PUN:cit	«
vous	PRO:PER	vous
pouvez	VER:pres	pouvoir
compter	VER:infi	compter
sur	PRP	sur
le	DET:ART	le
conseil	NOM	conseil
général	ADJ	général
,	PUN	,
vous	PRO:PER	vous
pouvez	VER:pres	pouvoir
compter	VER:infi	compter
sur	PRP	sur
moi	PRO:PER	moi
et	KON	et
en	PRP	en
particulier	NOM	particulier
pour	PRP	pour
l'	DET:ART	le
aménagement	NOM	aménagement
judicieux	ADJ	judicieux
de	PRP	de
la	DET:ART	le
rue	NOM	rue
qui	PRO:REL	qui
conduit	VER:pres	conduire
à	PRP	à
l'	DET:ART	le
école	NOM	école
.	SENT	.
pour	PRP	pour
la	DET:ART	le
mise	NOM	mise
en	PRP	en
sécurité	NOM	sécurité
de	PRP	de
la	DET:ART	le
rn	NOM	rn
19	NUM	@card@
dans	PRP	dans
sa	DET:POS	son
traversée	NOM	traversée
de	PRP	de
la	DET:ART	le
commune	NOM	commune
et	KON	et
qui	PRO:REL	qui
deviendra	VER:futu	devenir
départementale	ADJ	départemental
nous	PRO:PER	nous
avons	VER:pres	avoir
mis	VER:pper	mettre
en	PRP	en
place	NOM	place
un	DET:ART	un
budget	NOM	budget
d'	PRP	de
étude	NOM	étude
»	PUN:cit	»
il	PRO:PER	il
a	VER:pres	avoir
ensuite	ADV	ensuite
confirmé	VER:pper	confirmer
qu'	KON	que
«	PUN:cit	«
il	PRO:PER	il
n'	ADV	ne
y	PRO:PER	y
aurait	VER:cond	avoir
pas	ADV	pas
d'	PRP	de
augmentation	NOM	augmentation
de	PRP	de
la	DET:ART	le
fiscalité	NOM	fiscalité
cette	PRO:DEM	ce
année	NOM	année
»	PUN:cit	»
et	KON	et
pour	PRP	pour
terminer	VER:infi	terminer
,	PUN	,
évita	VER:simp	éviter
de	PRP	de
parler	VER:infi	parler
de	PRP	de
l'	DET:ART	le
intercommunalité	NOM	intercommunalité
:	PUN	:
«	PUN:cit	«
cette	PRO:DEM	ce
année	NOM	année
,	PUN	,
je	PRO:PER	je
ne	ADV	ne
veux	VER:pres	vouloir
rien	ADV	rien
dire	VER:infi	dire
!	SENT	!
»	PUN:cit	»
c'	PRO:DEM	ce
est	VER:pres	être
ensuite	ADV	ensuite
maryvonne	NOM	maryvonne
briot	ADJ	briot
qui	PRO:REL	qui
est	VER:pres	être
intervenue	VER:pper	intervenir
:	PUN	:
«	PUN:cit	«
je	PRO:PER	je
remercie	VER:pres	remercier
sincèrement	ADV	sincèrement
m.	VER:pper	m.
le	DET:ART	le
maire	NOM	maire
de	PRP	de
son	DET:POS	son
invitation	NOM	invitation
.	SENT	.
je	PRO:PER	je
ne	ADV	ne
suis	VER:pres	suivre|être
pas	ADV	pas
allée	VER:pper	aller
dans	PRP	dans
beaucoup	ADV	beaucoup
de	PRP	de
communes	NOM	commune
car	KON	car
je	PRO:PER	je
n'	ADV	ne
étais	VER:impf	être
pas	ADV	pas
invitée	VER:pper	inviter
»	PUN:cit	»
elle	PRO:PER	elle
poursuivit	VER:simp	poursuivre
revenant	VER:ppre	revenir
