Key = colin, Value = 1
Key = fut, Value = 1
Key = prix, Value = 2
Key = remport�e, Value = 1
Key = emerson, Value = 1
Key = mondiaux, Value = 1
Key = chapman, Value = 1
Key = f1, Value = 1
Key = senna, Value = 1
Key = 1978), Value = 1
Key = victoires, Value = 1
Key = jim, Value = 1
Key = rindt, Value = 1
Key = soixante-dix-neuf, Value = 1
Key = du, Value = 1
Key = des, Value = 3
Key = 1973, Value = 1
Key = 1972, Value = 2
Key = ainsi, Value = 1
Key = 1970, Value = 2
Key = br�silien, Value = 1
Key = les, Value = 1
Key = 1978, Value = 1
Key = par, Value = 2
Key = en, Value = 4
Key = mario, Value = 1
Key = et, Value = 3
Key = constructeurs, Value = 1
Key = d'indianapolis, Value = 1
Key = 1987, Value = 1
Key = etats-unis, Value = 1
Key = l'ing�nieur, Value = 1
Key = pilote, Value = 1
Key = au, Value = 1
Key = britannique, Value = 2
Key = derni�re, Value = 1
Key = monde, Value = 1
Key = clarke, Value = 1
Key = ayrton, Value = 1
Key = avec, Value = 5
Key = jochen, Value = 1
Key = que, Value = 1
Key = l'�curie, Value = 1
Key = andretti), Value = 1
Key = (1963, Value = 2
Key = graham, Value = 1
Key = obtenu, Value = 1
Key = sa, Value = 1
Key = victoire, Value = 1
Key = miles, Value = 1
Key = titres, Value = 1
Key = 1952, Value = 1
Key = a, Value = 1
Key = sept, Value = 1
Key = six, Value = 1
Key = pilotes, Value = 1
Key = championnats, Value = 1
Key = grand, Value = 2
Key = fittipaldi, Value = 1
Key = 1965, Value = 2
Key = hill, Value = 1
Key = 500, Value = 1
Key = le, Value = 1
Key = fond�e, Value = 1
Key = 1968, Value = 2
