empruntant	VER:ppre	emprunter
des	PRP:det	du
routes	NOM	route
verglacées	ADJ	verglacé
,	PUN	,
plusieurs	PRO:IND	plusieurs
véhicules	NOM	véhicule
ont	VER:pres	avoir
été	VER:pper	être
accidentés	VER:pper	accidenter
dans	PRP	dans
la	DET:ART	le
nuit	NOM	nuit
de	PRP	de
samedi	NOM	samedi
à	PRP	à
dimanche	NOM	dimanche
.	SENT	.
ce	PRO:DEM	ce
fut	VER:simp	être
notamment	ADV	notamment
le	DET:ART	le
cas	NOM	cas
dans	PRP	dans
le	DET:ART	le
secteur	NOM	secteur
de	PRP	de
bicqueley	NOM	bicqueley
,	PUN	,
thuilley-aux-groseilles	NOM	thuilley-aux-groseilles
et	KON	et
liverdun	NOM	liverdun
.	SENT	.
beaucoup	ADV	beaucoup
de	PRP	de
dégâts	NOM	dégât
matériels	ADJ	matériel
,	PUN	,
mais	KON	mais
pas	ADV	pas
de	PRP	de
victimes	NOM	victime
.	SENT	.
