venant	VER:ppre	venir
d'	PRP	de
une	DET:ART	un
brigade	NOM	brigade
de	PRP	de
mulhouse	NOM	mulhouse
,	PUN	,
celle	PRO:DEM	celui
de	PRP	de
sundgau	NOM	sundgau
,	PUN	,
mounir	VER:infi	mounir
aboulaich	NOM	aboulaich
est	VER:pres	être
un	DET:ART	un
nouveau	ADJ	nouveau
gendarme	NOM	gendarme
affecté	VER:pper	affecter
à	PRP	à
pagny-sur-moselle	NOM	pagny-sur-moselle
où	PRO:REL	où
il	PRO:PER	il
s'	PRO:PER	se
habitue	VER:pres	habituer
depuis	PRP	depuis
une	DET:ART	un
dizaine	NOM	dizaine
de	PRP	de
jours	NOM	jour
.	SENT	.
agé	NOM	agé
de	PRP	de
23	NUM	@card@
ans	NOM	an
,	PUN	,
il	PRO:PER	il
est	VER:pres	être
célibataire	ADJ	célibataire
et	KON	et
a	VER:pres	avoir
reçu	VER:pper	recevoir
sa	DET:POS	son
formation	NOM	formation
à	PRP	à
l'	DET:ART	le
école	NOM	école
de	PRP	de
montargis	NOM	montargis
.	SENT	.
nous	PRO:PER	nous
lui	PRO:PER	lui
souhaitons	VER:pres	souhaiter
la	DET:ART	le
bienvenue	NOM	bienvenu|bienvenue
.	SENT	.
